,0,1,2,3,4
3,,EQUITIES,,,
4,,,,,
5,1.0,Afdis Distillers Limited,3438.5,3438.5,7100.0
6,,,,,
7,2.0,Amalgamated Regional Trading (Art) Holdings Limited,64.0,64.0,0.0
8,,,,,
9,,,,,
10,3.0,Ariston Holdings Limited,46.963,47.0,55100.0
11,,,,,
12,4.0,Bridgefort Capital Limited,17.0,17.0,0.0
13,,,,,
14,5.0,Bridgefort Capital Limited Class B,30.0,30.0,0.0
15,,,,,
16,6.0,British American Tobacco Zimbabwe Limited,17229.9,19814.35,8700.0
17,,,,,
18,,,,,
19,7.0,Cafca Limited,4422.5,4422.5,0.0
20,,,,,
21,8.0,Cbz Holdings Limited,5100.0,5100.2783,44200.0
22,,,,,
23,9.0,Cfi Holdings Limited,2266.9375,2266.9375,0.0
24,,,,,
25,10.0,Dairibord Holdings Limited,800.0,800.05,25400.0
26,,,,,
27,11.0,Delta Corporation Limited,6387.8799,6627.4198,191900.0
28,,,,,
29,12.0,Ecocash Holdings Zimbabwe Limited,220.001,221.1297,1012200.0
30,,,,,
31,13.0,Econet Wireless Zimbabwe Limited,1574.3358,1773.4745,578800.0
32,,,,,
33,14.0,Edgars Stores Limited,160.0,160.0,100.0
34,,,,,
35,15.0,Fbc Holdings Limited,986.0802,1133.95,100.0
36,,,,,
37,16.0,Fidelity Life Assurance Limited,356.0,356.0,0.0
38,,,,,
39,17.0,First Mutual Holdings Limited,1000.0,1138.3613,53700.0
40,,,,,
41,18.0,First Mutual Properties Limited,380.0,380.0,63100.0
42,,,,,
43,19.0,General Beltings Holdings Limited,36.0,36.0,2100.0
44,,,,,
45,20.0,Hippo Valley Estates Limited,2500.9637,2506.674,7700.0
46,,,,,
47,21.0,Mashonaland Holdings Limited,158.2115,159.9531,267200.0
48,,,,,
49,22.0,Masimba Holdings Limited,1374.2857,1550.6143,1400.0
50,,,,,
51,23.0,Meikles Limited,2645.0354,2646.0727,11000.0
52,,,,,
53,24.0,Nampak Zimbabwe Limited,379.0,376.648,231800.0
54,,,,,
55,25.0,National Tyre Services Limited,70.0,70.0,0.0
56,,,,,
57,26.0,Nmbz Holdings Limited,848.75,848.75,0.0
58,,,,,
59,27.0,Ok Zimbabwe Limited,246.2268,251.1527,693200.0
60,,,,,
61,28.0,Proplastics Limited,838.2486,963.95,17900.0
62,,,,,
63,29.0,Rainbow Tourism Group Limited,190.0,190.0,50300.0
64,,,,,
65,30.0,Riozim Limited,900.0,900.0,0.0
66,,,,,
67,31.0,Seed Co Limited,1600.0326,1631.746,7500.0
68,,,,,
69,32.0,Starafricacorporation Limited,9.0687,9.1285,159200.0
70,,,,,
71,33.0,Tanganda Tea Company Limited,1276.335,1467.75,200.0
72,,,,,
73,34.0,Truworths Limited,42.0,40.0,3200.0
74,,,,,
75,35.0,Tsl Limited,1100.0,1100.0,8100.0
76,36.0,Turnall Holdings Limited,36.05,36.05,57400.0
77,,,,,
78,37.0,Unifreight Africa Limited,250.0,250.0,0.0
79,,,,,
80,38.0,Willdale Limited,46.0,46.0947,19000.0
81,,,,,
82,39.0,Zb Financial Holdings Limited,1035.0,1035.0,0.0
83,,,,,
84,40.0,Zeco Holdings Limited,0.04,0.04,0.0
85,,,,,
86,41.0,Zimbabwe Newspapers (1980) Limited,34.0,34.0,0.0
87,,,,,
88,42.0,Zimre Holdings Limited,173.8,173.7604,31700.0
