,0,1,2,3
3,,,,
4,,,,
5,Ariston Holdings Limited,14.9646,14.95,20600.0
6,,,,
7,Bridgefort Capital Limited,10.05,10.05,0.0
8,,,,
9,Bridgefort Capital Limited Class B,29.3,29.3,0.0
10,,,,
11,British American Tobacco Zimbabwe Limited,5417.5,5417.5,0.0
12,,,,
13,,,,
14,Cafca Limited,421.5475,421.5475,0.0
15,,,,
16,Cbz Holdings Limited,310.0,330.0,300.0
17,,,,
18,Cfi Holdings Limited,705.9196,705.9196,0.0
19,,,,
20,Dairibord Holdings Limited,213.9,213.9,0.0
21,,,,
22,Delta Corporation Limited,1772.6114,1855.9167,886200.0
23,,,,
24,Ecocash Holdings Zimbabwe Limited,151.7408,149.8461,10200.0
25,,,,
26,Econet Wireless Zimbabwe Limited,600.6743,600.0009,567000.0
27,,,,
28,Edgars Stores Limited,35.5,38.5,2700.0
29,,,,
30,Fbc Holdings Limited,180.0,199.9621,50100.0
31,,,,
32,Fidelity Life Assurance Limited,48.0,48.0,0.0
33,,,,
34,First Mutual Holdings Limited,28.75,28.75,0.0
35,,,,
36,First Mutual Properties Limited,44.3,44.3,0.0
37,,,,
38,General Beltings Holdings Limited,3.5525,4.085,100.0
39,,,,
40,Getbucks Microfinance Bank Limited,30.7,30.7,0.0
41,,,,
42,Hippo Valley Estates Limited,1490.0,1500.0,11200.0
43,,,,
44,Mashonaland Holdings Limited,22.0,25.3,3900.0
45,,,,
46,Masimba Holdings Limited,291.0,291.0,0.0
47,,,,
48,Meikles Limited,874.7485,874.7485,0.0
49,,,,
50,Nampak Zimbabwe Limited,35.0,40.0,200.0
51,,,,
52,National Tyre Services Limited,14.0,14.0,0.0
53,,,,
54,Nmbz Holdings Limited,86.8824,98.0,500.0
55,,,,
56,Ok Zimbabwe Limited,140.4969,149.5748,5385900.0
57,,,,
58,Proplastics Limited,262.5025,290.5437,167900.0
59,,,,
60,Rainbow Tourism Group Limited,38.5615,44.25,1200.0
61,,,,
62,Riozim Limited,253.0,254.002,5000.0
63,,,,
64,Seed Co Limited,391.2,449.0,500.0
65,,,,
66,Starafricacorporation Limited,2.358,2.6755,421000.0
67,,,,
68,Tanganda Tea Company Limited,620.0,710.1673,195500.0
69,Truworths Limited,5.06,5.8,200.0
70,,,,
71,Tsl Limited,198.0,198.0,9600.0
72,,,,
73,Turnall Holdings Limited,8.2965,8.2965,0.0
74,,,,
75,Unifreight Africa Limited,99.9,99.0,7000.0
76,,,,
77,Willdale Limited,4.1,4.64,2000.0
78,,,,
79,Zb Financial Holdings Limited,106.525,106.525,0.0
80,,,,
81,Zeco Holdings Limited,0.0331,0.0331,0.0
82,,,,
83,Zimbabwe Newspapers (1980) Limited,7.54,7.54,0.0
84,,,,
85,Zimplow Holdings Limited,96.4842,96.0161,3100.0
86,,,,
87,Zimre Holdings Limited,16.8,16.8,6800.0
