,0,1,2,3,4
3,,EQUITIES,EQUITIES,,
4,,,,,
5,1.0,Afdis Distillers Limited,5495,5495.0,3000.0
6,,,,,
7,2.0,Amalgamated Regional Trading (Art) Holdings Limited,210,210.0,7900.0
8,,,,,
9,,,,,
10,3.0,Ariston Holdings Limited,69.218,61.4415,188400.0
11,,,,,
12,4.0,Bridgefort Capital Limited,35,35.0,0.0
13,,,,,
14,5.0,Bridgefort Capital Limited Class B,33,33.0,0.0
15,,,,,
16,6.0,British American Tobacco Zimbabwe Limited,65000,65000.0,200.0
17,,,,,
18,,,,,
19,7.0,Cafca Limited,15525,15525.0,0.0
20,,,,,
21,8.0,Cbz Holdings Limited,10000,11199.0,300.0
22,,,,,
23,9.0,Cfi Holdings Limited,2990,3438.0,500.0
24,,,,,
25,10.0,Dairibord Holdings Limited,2978.2,3000.0,7300.0
26,,,,,
27,11.0,Delta Corporation Limited,16590,16838.02,40400.0
28,,,,,
29,12.0,Ecocash Holdings Zimbabwe Limited,691.34,695.8158,315200.0
30,,,,,
31,13.0,Econet Wireless Zimbabwe Limited,5193.1,4978.196,266400.0
32,,,,,
33,14.0,Edgars Stores Limited,452,452.0,0.0
34,,,,,
35,15.0,Fbc Holdings Limited,4715,4715.03,7600.0
36,,,,,
37,16.0,Fidelity Life Assurance Limited,945,945.0,0.0
38,,,,,
39,17.0,First Mutual Holdings Limited,5635,5635.0,200.0
40,,,,,
41,18.0,First Mutual Properties Limited,560,644.0,24000.0
42,,,,,
43,19.0,General Beltings Holdings Limited,137,137.0,500.0
44,,,,,
45,20.0,Hippo Valley Estates Limited,7600,7600.042,0.0
46,,,,,
47,21.0,Mashonaland Holdings Limited,370,370.0,0.0
48,,,,,
49,22.0,Masimba Holdings Limited,3750,3750.0,0.0
50,,,,,
51,23.0,Meikles Limited,7169.6,7200.0,1300.0
52,,,,,
53,24.0,Nampak Zimbabwe Limited,770,885.5,100.0
54,,,,,
55,25.0,National Tyre Services Limited,160,160.0,0.0
56,,,,,
57,26.0,Nmbz Holdings Limited,3427.1,3427.05,0.0
58,,,,,
59,27.0,Ok Zimbabwe Limited,1200,1200.013,557000.0
60,,,,,
61,28.0,Proplastics Limited,1294,1205.154,12700.0
62,,,,,
63,29.0,Rainbow Tourism Group Limited,450,450.0,0.0
64,,,,,
65,30.0,Riozim Limited,1380,1380.0,1200.0
66,,,,,
67,31.0,Seed Co Limited,3954.9,3949.217,21800.0
68,,,,,
69,32.0,Starafricacorporation Limited,16.299,16.9209,316100.0
70,,,,,
71,33.0,Tanganda Tea Company Limited,5110.8,5200.048,2500.0
72,,,,,
73,34.0,Tsl Limited,2645,2645.0,0.0
74,,,,,
75,35.0,Turnall Holdings Limited,73,72.0,6700.0
76,36.0,Unifreight Africa Limited,649.15,649.15,0.0
77,,,,,
78,37.0,Willdale Limited,98,110.0,53400.0
79,,,,,
80,38.0,Zb Financial Holdings Limited,6353.8,6350.0,4200.0
81,,,,,
82,39.0,Zeco Holdings Limited,0.0452,0.0452,0.0
83,,,,,
84,40.0,Zimbabwe Newspapers (1980) Limited,100,100.0,0.0
85,,,,,
86,41.0,Zimre Holdings Limited,388,445.6639,24100.0
