,0,1,2,3
3,EQUITIES,,,
4,,,,
5,Afdis Distillers Limited,4989.3375,4240.95,200.0
6,,,,
7,Amalgamated Regional Trading (Art) Holdings Limited,103.5,103.75,34800.0
8,,,,
9,,,,
10,Ariston Holdings Limited,92.9821,92.9444,2700.0
11,,,,
12,Bridgefort Capital Limited,20.0,20.0,0.0
13,,,,
14,Bridgefort Capital Limited Class B,33.0,33.0,0.0
15,,,,
16,British American Tobacco Zimbabwe Limited,46814.0,46814.0,0.0
17,,,,
18,,,,
19,Cafca Limited,4422.5,4505.1845,11300.0
20,,,,
21,Cbz Holdings Limited,7820.0,7820.0,0.0
22,,,,
23,Cfi Holdings Limited,2266.9375,2266.9375,0.0
24,,,,
25,Dairibord Holdings Limited,1765.1364,1717.0387,45100.0
26,,,,
27,Delta Corporation Limited,8600.1041,8600.7979,247900.0
28,,,,
29,Ecocash Holdings Zimbabwe Limited,696.1415,727.6446,257500.0
30,,,,
31,Econet Wireless Zimbabwe Limited,2754.641,2971.9322,118000.0
32,,,,
33,Edgars Stores Limited,230.0,250.0,1200.0
34,,,,
35,Fbc Holdings Limited,3200.0,3200.0,300.0
36,,,,
37,Fidelity Life Assurance Limited,470.35,470.35,0.0
38,,,,
39,First Mutual Holdings Limited,2252.95,2252.95,0.0
40,,,,
41,First Mutual Properties Limited,472.4747,520.0,2500.0
42,,,,
43,General Beltings Holdings Limited,159.0909,157.4321,8100.0
44,,,,
45,Hippo Valley Estates Limited,5899.98,5900.9,100.0
46,,,,
47,Mashonaland Holdings Limited,216.951,217.0,3700.0
48,,,,
49,Masimba Holdings Limited,3408.6786,3400.0,100.0
50,,,,
51,Meikles Limited,6190.9893,5262.35,100.0
52,,,,
53,Nampak Zimbabwe Limited,500.0,500.0,52400.0
54,,,,
55,National Tyre Services Limited,140.0,140.0,0.0
56,,,,
57,Nmbz Holdings Limited,1963.8851,1970.9639,24100.0
58,,,,
59,Ok Zimbabwe Limited,722.4797,830.85,436800.0
60,,,,
61,Proplastics Limited,1699.9506,1699.9506,0.0
62,,,,
63,Rainbow Tourism Group Limited,263.0,263.0,100.0
64,,,,
65,Riozim Limited,1035.0,1035.0,0.0
66,,,,
67,Seed Co Limited,3381.95,2999.0509,100400.0
68,,,,
69,Starafricacorporation Limited,9.1611,9.0151,19900.0
70,,,,
71,Tanganda Tea Company Limited,2860.0,2860.0,600.0
72,,,,
73,Truworths Limited,70.0,70.0,100.0
74,,,,
75,Tsl Limited,1525.7556,1754.6,200.0
76,Turnall Holdings Limited,94.0,92.7826,2300.0
77,,,,
78,Unifreight Africa Limited,337.0238,337.0238,0.0
79,,,,
80,Willdale Limited,59.985,60.0,50400.0
81,,,,
82,Zb Financial Holdings Limited,2079.125,2099.15,100.0
83,,,,
84,Zeco Holdings Limited,0.04,0.04,0.0
85,,,,
86,Zimbabwe Newspapers (1980) Limited,49.002,49.002,0.0
87,,,,
88,Zimre Holdings Limited,201.0244,231.15,6400.0
89,,,,1427400.0
90,,,,
91,,,,1427400.0
