,0,1,2,3,4
3,,EQUITIES,,,
4,,,,,
5,1.0,Afdis Distillers Limited,1739.2638,1739.2638,0.0
6,,,,,
7,2.0,Amalgamated Regional Trading (Art) Holdings Limited,46.3464,46.3464,0.0
8,,,,,
9,,,,,
10,3.0,Ariston Holdings Limited,32.0,31.9516,6200.0
11,,,,,
12,4.0,Bridgefort Capital Limited,16.5909,16.5909,0.0
13,,,,,
14,5.0,Bridgefort Capital Limited Class B,33.65,33.65,0.0
15,,,,,
16,6.0,British American Tobacco Zimbabwe Limited,16300.0,16300.0,0.0
17,,,,,
18,,,,,
19,7.0,Cafca Limited,2399.6,2399.6,0.0
20,,,,,
21,8.0,Cbz Holdings Limited,805.0682,805.0682,0.0
22,,,,,
23,9.0,Cfi Holdings Limited,2200.0,2200.0,0.0
24,,,,,
25,10.0,Dairibord Holdings Limited,484.6389,507.6931,10100.0
26,,,,,
27,11.0,Delta Corporation Limited,2039.1808,2242.5821,604100.0
28,,,,,
29,12.0,Ecocash Holdings Zimbabwe Limited,133.8594,134.0017,3699500.0
30,,,,,
31,13.0,Econet Wireless Zimbabwe Limited,488.2815,488.4485,16500.0
32,,,,,
33,14.0,Edgars Stores Limited,102.6,102.6,0.0
34,,,,,
35,15.0,Fbc Holdings Limited,800.0,800.0,373700.0
36,,,,,
37,16.0,Fidelity Life Assurance Limited,140.875,140.875,0.0
38,,,,,
39,17.0,First Mutual Holdings Limited,248.0,211.0034,25432500.0
40,,,,,
41,18.0,First Mutual Properties Limited,139.0,139.0,0.0
42,,,,,
43,19.0,General Beltings Holdings Limited,10.0,10.0,0.0
44,,,,,
45,20.0,Hippo Valley Estates Limited,1529.0,1529.0,0.0
46,,,,,
47,21.0,Mashonaland Holdings Limited,137.1429,125.0,300.0
48,,,,,
49,22.0,Masimba Holdings Limited,800.0,800.0,0.0
50,,,,,
51,23.0,Meikles Limited,681.0606,681.0606,0.0
52,,,,,
53,24.0,Nampak Zimbabwe Limited,200.0,200.0,0.0
54,,,,,
55,25.0,National Tyre Services Limited,24.7,24.7,0.0
56,,,,,
57,26.0,Nmbz Holdings Limited,215.5654,215.5654,0.0
58,,,,,
59,27.0,Ok Zimbabwe Limited,120.91,129.9743,467800.0
60,,,,,
61,28.0,Proplastics Limited,600.0,531.9,1000000.0
62,,,,,
63,29.0,Rainbow Tourism Group Limited,138.0,137.95,4500.0
64,,,,,
65,30.0,Riozim Limited,690.0,690.0,0.0
66,,,,,
67,31.0,Seed Co Limited,528.7591,540.0,1500.0
68,,,,,
69,32.0,Starafricacorporation Limited,5.0,4.9949,67500.0
70,,,,,
71,33.0,Tanganda Tea Company Limited,906.9667,913.0,2100.0
72,,,,,
73,34.0,Truworths Limited,10.0,20.0,15000.0
74,35.0,Tsl Limited,508.0,508.0,0.0
75,,,,,
76,36.0,Turnall Holdings Limited,21.2742,22.0,126400.0
77,,,,,
78,37.0,Unifreight Africa Limited,258.0,258.0,0.0
79,,,,,
80,38.0,Willdale Limited,9.04,9.04,10000.0
81,,,,,
82,39.0,Zb Financial Holdings Limited,600.0,600.0,0.0
83,,,,,
84,40.0,Zeco Holdings Limited,0.0331,0.0331,0.0
85,,,,,
86,41.0,Zimbabwe Newspapers (1980) Limited,11.0,12.65,100.0
87,,,,,
88,42.0,Zimre Holdings Limited,85.2653,85.0,1800.0
