,0,1,2,3
3,,,,
4,Amalgamated Regional Trading (Art) Holdings Limited,8.9,8.9,0.0
5,,,,
6,,,,
7,Ariston Holdings Limited,4.0,4.0,2100.0
8,,,,
9,Bridgefort Capital Limited,1.4007,1.4007,0.0
10,,,,
11,Bridgefort Capital Limited Class B,1.3207,1.3207,0.0
12,,,,
13,British American Tobacco Zimbabwe Limited,2099.95,2000.0,600.0
14,,,,
15,,,,
16,Cafca Limited,621.3121,621.3121,0.0
17,,,,
18,Cbz Holdings Limited,450.0,500.0,200.0
19,,,,
20,Cfi Holdings Limited,160.0,160.0,0.0
21,,,,
22,Dairibord Holdings Limited,95.9231,95.9231,0.0
23,,,,
24,Delta Corporation Limited,923.3904,924.9525,520900.0
25,,,,
26,Ecocash Holdings Zimbabwe Limited,21.3476,20.0097,14383800.0
27,,,,
28,Econet Wireless Zimbabwe Limited,191.759,201.2147,34700.0
29,,,,
30,Fbc Holdings Limited,195.4755,195.1521,23800.0
31,,,,
32,Fidelity Life Assurance Limited,118.45,118.45,0.0
33,,,,
34,First Mutual Holdings Limited,205.0,205.0,100.0
35,,,,
36,First Mutual Properties Limited,42.0,42.0,0.0
37,,,,
38,General Beltings Holdings Limited,5.04,5.04,0.0
39,,,,
40,Hippo Valley Estates Limited,482.9655,490.0,400.0
41,,,,
42,Mashonaland Holdings Limited,14.05,14.05,0.0
43,,,,
44,Masimba Holdings Limited,153.997,153.997,0.0
45,,,,
46,Meikles Limited,485.0,485.0,200.0
47,,,,
48,Nampak Zimbabwe Limited,42.6833,45.0,13800.0
49,,,,
50,National Tyre Services Limited,12.8064,25.0,100.0
51,,,,
52,Nmbz Holdings Limited,186.25,186.25,2200.0
53,,,,
54,Ok Zimbabwe Limited,48.1367,49.3859,651400.0
55,,,,
56,Proplastics Limited,62.6195,63.0,163800.0
57,,,,
58,Rainbow Tourism Group Limited,25.0,21.25,14600.0
59,,,,
60,Riozim Limited,63.0,63.0,0.0
61,,,,
62,Seed Co Limited,171.85,173.0,300.0
63,,,,
64,Starafricacorporation Limited,0.8054,0.8133,157400.0
65,,,,
66,Tanganda Tea Company Limited,169.0,183.2131,6100.0
67,,,,
68,Tsl Limited,110.0,110.0,0.0
69,,,,
70,Turnall Holdings Limited,3.21,3.21,0.0
71,,,,
72,Unifreight Africa Limited,33.35,33.35,0.0
73,Willdale Limited,4.0,4.0,51200.0
74,,,,
75,Zb Financial Holdings Limited,179.0,184.9917,600.0
76,,,,
77,Zeco Holdings Limited,0.0018,0.0018,0.0
78,,,,
79,Zimbabwe Newspapers (1980) Limited,5.0,5.0,0.0
80,,,,
81,Zimre Holdings Limited,30.0,29.0332,33300.0
82,,,,16063100.0
83,,,,
84,,,,16063100.0
