,0,1,2,3,4
3,,EQUITIES,,,
4,,,,,
5,1.0,Afdis Distillers Limited,3954.25,4400.0,50000.0
6,,,,,
7,2.0,Amalgamated Regional Trading (Art) Holdings Limited,70.75,81.35,2100.0
8,,,,,
9,,,,,
10,3.0,Ariston Holdings Limited,46.9969,47.9379,827900.0
11,,,,,
12,4.0,Bridgefort Capital Limited,17.0,20.0,3900.0
13,,,,,
14,5.0,Bridgefort Capital Limited Class B,30.0,30.0,0.0
15,,,,,
16,6.0,British American Tobacco Zimbabwe Limited,35399.5,40709.3,400.0
17,,,,,
18,,,,,
19,7.0,Cafca Limited,4422.5,4422.5,0.0
20,,,,,
21,8.0,Cbz Holdings Limited,6000.0,6498.3165,29700.0
22,,,,,
23,9.0,Cfi Holdings Limited,2266.9375,2266.9375,0.0
24,,,,,
25,10.0,Dairibord Holdings Limited,1551.45,1781.6508,19000.0
26,,,,,
27,11.0,Delta Corporation Limited,8864.3277,9796.9628,116200.0
28,,,,,
29,12.0,Ecocash Holdings Zimbabwe Limited,448.45,461.8251,231900.0
30,,,,,
31,13.0,Econet Wireless Zimbabwe Limited,1990.0791,1999.8206,289200.0
32,,,,,
33,14.0,Edgars Stores Limited,224.6548,224.7,200.0
34,,,,,
35,15.0,Fbc Holdings Limited,2441.8657,2497.8205,35900.0
36,,,,,
37,16.0,Fidelity Life Assurance Limited,409.0,409.0,0.0
38,,,,,
39,17.0,First Mutual Holdings Limited,1590.0,1823.8958,25900.0
40,,,,,
41,18.0,First Mutual Properties Limited,440.8,440.8,0.0
42,,,,,
43,19.0,General Beltings Holdings Limited,36.1373,70.0,1000.0
44,,,,,
45,20.0,Hippo Valley Estates Limited,4400.0,4400.0,0.0
46,,,,,
47,21.0,Mashonaland Holdings Limited,180.0,180.0,0.0
48,,,,,
49,22.0,Masimba Holdings Limited,2975.0,2975.0,0.0
50,,,,,
51,23.0,Meikles Limited,5943.3558,6713.1079,61700.0
52,,,,,
53,24.0,Nampak Zimbabwe Limited,420.0,420.0,0.0
54,,,,,
55,25.0,National Tyre Services Limited,70.0,140.0,200.0
56,,,,,
57,26.0,Nmbz Holdings Limited,1290.8,1290.8,0.0
58,,,,,
59,27.0,Ok Zimbabwe Limited,359.5,413.4,44800.0
60,,,,,
61,28.0,Proplastics Limited,1494.95,1494.442,22400.0
62,,,,,
63,29.0,Rainbow Tourism Group Limited,233.4417,244.9338,15100.0
64,,,,,
65,30.0,Riozim Limited,900.0,900.0,0.0
66,,,,,
67,31.0,Seed Co Limited,2624.1398,3017.75,5000.0
68,,,,,
69,32.0,Starafricacorporation Limited,9.069,8.9104,103200.0
70,,,,,
71,33.0,Tanganda Tea Company Limited,2542.9443,2848.8761,16500.0
72,,,,,
73,34.0,Truworths Limited,71.0,71.0,0.0
74,,,,,
75,35.0,Tsl Limited,1322.5,1322.5,700.0
76,36.0,Turnall Holdings Limited,51.0,51.0,4300.0
77,,,,,
78,37.0,Unifreight Africa Limited,255.0,293.25,1500.0
79,,,,,
80,38.0,Willdale Limited,52.55,54.0,13200.0
81,,,,,
82,39.0,Zb Financial Holdings Limited,1368.5,1573.75,600.0
83,,,,,
84,40.0,Zeco Holdings Limited,0.04,0.04,0.0
85,,,,,
86,41.0,Zimbabwe Newspapers (1980) Limited,49.0,49.002,101300.0
87,,,,,
88,42.0,Zimre Holdings Limited,171.723,171.7498,48400.0
