,0,1,2,3,4
3,,EQUITIES,,,
4,,,,,
5,1.0,Afdis Distillers Limited,1800.0,1800.0,200.0
6,,,,,
7,2.0,Amalgamated Regional Trading (Art) Holdings Limited,51.0,51.0,3800.0
8,,,,,
9,,,,,
10,3.0,Ariston Holdings Limited,24.9278,27.1643,2100.0
11,,,,,
12,4.0,Bridgefort Capital Limited,16.5909,16.5909,0.0
13,,,,,
14,5.0,Bridgefort Capital Limited Class B,33.65,33.65,0.0
15,,,,,
16,6.0,British American Tobacco Zimbabwe Limited,13990.0,13990.0,0.0
17,,,,,
18,,,,,
19,7.0,Cafca Limited,2399.6,2399.6,0.0
20,,,,,
21,8.0,Cbz Holdings Limited,800.0,817.7419,3100.0
22,,,,,
23,9.0,Cfi Holdings Limited,2200.0,2200.0,100.0
24,,,,,
25,10.0,Dairibord Holdings Limited,570.0,578.6429,1400.0
26,,,,,
27,11.0,Delta Corporation Limited,2199.9914,2199.8803,428200.0
28,,,,,
29,12.0,Ecocash Holdings Zimbabwe Limited,134.6969,138.1589,16300.0
30,,,,,
31,13.0,Econet Wireless Zimbabwe Limited,504.679,507.6801,79500.0
32,,,,,
33,14.0,Edgars Stores Limited,115.0,115.0,700.0
34,,,,,
35,15.0,Fbc Holdings Limited,820.0,800.0,300.0
36,,,,,
37,16.0,Fidelity Life Assurance Limited,130.0,130.0,0.0
38,,,,,
39,17.0,First Mutual Holdings Limited,150.0,150.0,700.0
40,,,,,
41,18.0,First Mutual Properties Limited,101.0,101.0,0.0
42,,,,,
43,19.0,General Beltings Holdings Limited,11.8,11.8,0.0
44,,,,,
45,20.0,Getbucks Microfinance Bank Limited,38.0,38.0,200.0
46,,,,,
47,21.0,Hippo Valley Estates Limited,1900.0,1900.0,3500.0
48,,,,,
49,22.0,Mashonaland Holdings Limited,125.0,125.0,1900.0
50,,,,,
51,23.0,Masimba Holdings Limited,511.7,450.3517,14700.0
52,,,,,
53,24.0,Meikles Limited,700.1254,700.1,1449300.0
54,,,,,
55,25.0,Nampak Zimbabwe Limited,147.0,147.0,0.0
56,,,,,
57,26.0,National Tyre Services Limited,21.2,21.5,800.0
58,,,,,
59,27.0,Nmbz Holdings Limited,167.0,160.0,200.0
60,,,,,
61,28.0,Ok Zimbabwe Limited,141.0319,144.3802,10600.0
62,,,,,
63,29.0,Proplastics Limited,444.9021,444.9444,2700.0
64,,,,,
65,30.0,Rainbow Tourism Group Limited,141.7333,160.0,700.0
66,,,,,
67,31.0,Riozim Limited,521.85,521.85,0.0
68,,,,,
69,32.0,Seed Co Limited,1098.923,955.6904,10400.0
70,,,,,
71,33.0,Starafricacorporation Limited,5.4453,5.5459,43700.0
72,,,,,
73,34.0,Tanganda Tea Company Limited,1099.0,1081.6583,600.0
74,35.0,Truworths Limited,10.0,10.0,0.0
75,,,,,
76,36.0,Tsl Limited,500.0,500.0,0.0
77,,,,,
78,37.0,Turnall Holdings Limited,14.0,15.5,1300.0
79,,,,,
80,38.0,Unifreight Africa Limited,220.0,220.0,1800.0
81,,,,,
82,39.0,Willdale Limited,16.1674,16.1813,22400.0
83,,,,,
84,40.0,Zb Financial Holdings Limited,635.0,634.0,200.0
85,,,,,
86,41.0,Zeco Holdings Limited,0.0331,0.0331,0.0
87,,,,,
88,42.0,Zimbabwe Newspapers (1980) Limited,10.0,10.6923,1300.0
89,,,,,
90,43.0,Zimre Holdings Limited,65.0,65.0,4400.0
