,0,1,2,3
3,,,,
4,Afdis Distillers Limited,700.0,700.0,0.0
5,,,,
6,Amalgamated Regional Trading (Art) Holdings Limited,14.05,15.05,100.0
7,,,,
8,,,,
9,Ariston Holdings Limited,4.0,4.0,261000.0
10,,,,
11,Bridgefort Capital Limited,1.51,1.51,0.0
12,,,,
13,Bridgefort Capital Limited Class B,2.64,2.64,0.0
14,,,,
15,British American Tobacco Zimbabwe Limited,4552.9,4552.9,0.0
16,,,,
17,,,,
18,Cafca Limited,1700.0,1700.0,5900.0
19,,,,
20,Cbz Holdings Limited,1300.0,1489.552,223200.0
21,,,,
22,Cfi Holdings Limited,212.9,212.9,0.0
23,,,,
24,Dairibord Holdings Limited,305.0,305.0,3400.0
25,,,,
26,Delta Corporation Limited,1395.163,1400.0171,137000.0
27,,,,
28,Ecocash Holdings Zimbabwe Limited,48.9423,51.827,26300.0
29,,,,
30,Econet Wireless Zimbabwe Limited,330.9307,330.6467,1607000.0
31,,,,
32,Fbc Holdings Limited,392.0,396.8153,20600.0
33,,,,
34,Fidelity Life Assurance Limited,120.75,120.75,0.0
35,,,,
36,First Mutual Holdings Limited,229.0909,210.0,200.0
37,,,,
38,First Mutual Properties Limited,33.35,33.35,7700.0
39,,,,
40,General Beltings Holdings Limited,5.02,6.0,1400.0
41,,,,
42,Hippo Valley Estates Limited,810.9691,815.125,130800.0
43,,,,
44,Mashonaland Holdings Limited,42.8433,42.8433,0.0
45,,,,
46,Masimba Holdings Limited,264.5,264.5,0.0
47,,,,
48,Meikles Limited,659.95,595.0,1000.0
49,,,,
50,Nampak Zimbabwe Limited,108.8281,109.0,1000.0
51,,,,
52,National Tyre Services Limited,25.0,25.0,0.0
53,,,,
54,Nmbz Holdings Limited,290.05,290.05,0.0
55,,,,
56,Ok Zimbabwe Limited,75.161,84.4131,59300.0
57,,,,
58,Proplastics Limited,261.45,300.5,208600.0
59,,,,
60,Rainbow Tourism Group Limited,34.05,38.0,300.0
61,,,,
62,Riozim Limited,140.0,140.0,0.0
63,,,,
64,Seed Co Limited,320.4583,282.4682,232800.0
65,,,,
66,Starafricacorporation Limited,1.0,1.0,208700.0
67,,,,
68,Tanganda Tea Company Limited,383.6664,383.697,251400.0
69,,,,
70,Tsl Limited,301.0,301.0,0.0
71,,,,
72,Turnall Holdings Limited,6.51,6.51,0.0
73,,,,
74,Unifreight Africa Limited,106.35,122.25,100.0
75,Willdale Limited,3.6,3.6,11100.0
76,,,,
77,Zb Financial Holdings Limited,1020.0,867.3,1000.0
78,,,,
79,Zeco Holdings Limited,0.0018,0.0018,0.0
80,,,,
81,Zimbabwe Newspapers (1980) Limited,5.02,5.02,0.0
82,,,,
83,Zimre Holdings Limited,32.0,32.0,0.0
84,,,,3399900.0
85,,,,
86,,,,3399900.0
