Name,Opening_Price,Closing_Price,Volume_Traded
1.0,700.0,300.0,210000.0
2.0,19.5,1000.0,19500.0
3.0,4.4706,1700.0,7600.0
4.0,1.53,0.0,0.0
5.0,2.64,0.0,0.0
6.0,4500.0,0.0,0.0
7.0,1500.0,0.0,0.0
8.0,1507.562,0.0,0.0
9.0,212.9,0.0,0.0
10.0,296.2736,0.0,0.0
11.0,1396.331,18900.0,26390650.0
12.0,44.0447,9400.0,414020.0
13.0,350.2186,0.0,0.0
14.0,402.0,200.0,80400.0
15.0,120.25,200.0,24050.0
16.0,210.0,500.0,105000.0
17.0,38.2565,0.0,0.0
18.0,5.9248,41900.0,248248.0
19.0,800.0,1300.0,1040000.0
20.0,50.8905,159800.0,8132300.0
21.0,255.0,300.0,76500.0
22.0,591.0121,6600.0,3900680.0
23.0,99.3589,0.0,0.0
24.0,25.0,0.0,0.0
25.0,350.0,0.0,0.0
26.0,100.0,200.0,20000.0
27.0,295.0,2800.0,826000.0
28.0,34.05,3500.0,119175.0
29.0,139.9608,0.0,0.0
30.0,450.2691,27500.0,12382400.0
31.0,1.0,10400.0,10400.0
32.0,380.0,0.0,0.0
33.0,300.0,100.0,30000.0
34.0,7.02,4000.0,28080.0
35.0,245.6,400.0,98240.0
36.0,3.6,0.0,0.0
37.0,867.3,0.0,0.0
38.0,0.0018,0.0,0.0
39.0,5.02,0.0,0.0
40.0,28.0,700.0,19600.0
