,0,1,2,3
3,Afdis Distillers Limited,660.0,660.0,0.0
4,,,,
5,Amalgamated Regional Trading (Art) Holdings Limited,35.0,35.0,100.0
6,,,,
7,,,,
8,Ariston Holdings Limited,5.9888,5.9888,0.0
9,,,,
10,British American Tobacco Zimbabwe Limited,11700.0,11700.0,0.0
11,,,,
12,,,,
13,Cafca Limited,2200.0,2200.0,0.0
14,,,,
15,Cbz Holdings Limited,750.0,700.0,600.0
16,,,,
17,Cfi Holdings Limited,552.3,552.3,0.0
18,,,,
19,Dairibord Holdings Limited,169.1437,169.1437,0.0
20,,,,
21,Delta Corporation Limited,1546.1085,1546.3574,76100.0
22,,,,
23,Ecocash Holdings Zimbabwe Limited,18.0,18.0,600.0
24,,,,
25,Econet Wireless Zimbabwe Limited,405.3432,407.9633,95300.0
26,,,,
27,Fbc Holdings Limited,750.0,750.0,0.0
28,,,,
29,Fidelity Life Assurance Limited,50.0,50.0,0.0
30,,,,
31,First Mutual Holdings Limited,389.25,389.25,0.0
32,,,,
33,First Mutual Properties Limited,94.95,94.95,0.0
34,,,,
35,General Beltings Holdings Limited,6.0,11.9333,18000.0
36,,,,
37,Hippo Valley Estates Limited,615.6464,615.6464,0.0
38,,,,
39,Mashonaland Holdings Limited,110.25,110.25,0.0
40,,,,
41,Masimba Holdings Limited,370.0,370.0,0.0
42,,,,
43,Nampak Zimbabwe Limited,75.95,75.95,0.0
44,,,,
45,National Tyre Services Limited,66.526,66.526,0.0
46,,,,
47,Nmbz Holdings Limited,370.305,370.25,185100.0
48,,,,
49,Ok Zimbabwe Limited,46.1318,50.0,28100.0
50,,,,
51,Proplastics Limited,100.0,100.0,0.0
52,,,,
53,Rainbow Tourism Group Limited,65.0,65.0,0.0
54,,,,
55,Riozim Limited,99.9991,99.9991,0.0
56,,,,
57,Seed Co Limited,429.0,429.0,72300.0
58,,,,
59,Starafricacorporation Limited,3.9931,4.11,1500.0
60,,,,
61,Tanganda Tea Company Limited,100.5044,100.0,39300.0
62,,,,
63,Tsl Limited,169.1795,169.1795,0.0
64,,,,
65,Turnall Holdings Limited,5.5,5.5,3000.0
66,,,,
67,Unifreight Africa Limited,190.0,190.0,0.0
68,,,,
69,Willdale Limited,3.51,3.51,0.0
70,,,,
71,Zb Financial Holdings Limited,352.5,352.5,0.0
72,,,,
73,Zeco Holdings Limited,0.0018,0.0018,0.0
74,Zimbabwe Newspapers (1980) Limited,20.0,20.0,0.0
75,,,,
76,Zimre Holdings Limited,24.0,26.5,10000.0
77,,,,530000.0
78,,,,
79,,,,530000.0
