,0,1,2,3
3,Afdis Distillers Limited,700.0,700.0,0.0
4,,,,
5,Amalgamated Regional Trading (Art) Holdings Limited,20.15,18.65,200.0
6,,,,
7,,,,
8,Ariston Holdings Limited,6.0,6.0,6800.0
9,,,,
10,British American Tobacco Zimbabwe Limited,10500.0,9602.9412,3400.0
11,,,,
12,,,,
13,Cafca Limited,2040.0,2040.0,0.0
14,,,,
15,Cbz Holdings Limited,756.0606,756.9778,4500.0
16,,,,
17,Cfi Holdings Limited,418.0,418.0,0.0
18,,,,
19,Dairibord Holdings Limited,224.0,195.25,300100.0
20,,,,
21,Delta Corporation Limited,1396.2129,1395.9169,74900.0
22,,,,
23,Ecocash Holdings Zimbabwe Limited,29.85,29.8014,144400.0
24,,,,
25,Econet Wireless Zimbabwe Limited,296.8503,295.2291,618000.0
26,,,,
27,Fbc Holdings Limited,949.0,949.0,0.0
28,,,,
29,Fidelity Life Assurance Limited,40.05,40.05,0.0
30,,,,
31,First Mutual Holdings Limited,443.85,443.85,2100.0
32,,,,
33,First Mutual Properties Limited,122.95,120.16,32500.0
34,,,,
35,General Beltings Holdings Limited,7.0,7.02,1500.0
36,,,,
37,Hippo Valley Estates Limited,660.0,703.4168,58700.0
38,,,,
39,Mashonaland Holdings Limited,180.0,180.0,9800.0
40,,,,
41,Masimba Holdings Limited,300.0,300.0,0.0
42,,,,
43,Nampak Zimbabwe Limited,100.0,95.0,52500.0
44,,,,
45,National Tyre Services Limited,66.526,66.526,0.0
46,,,,
47,Nmbz Holdings Limited,370.25,370.0,100.0
48,,,,
49,Ok Zimbabwe Limited,31.0378,31.0013,210300.0
50,,,,
51,Proplastics Limited,85.0,85.0,3800.0
52,,,,
53,Rainbow Tourism Group Limited,60.025,60.025,0.0
54,,,,
55,Riozim Limited,126.8125,126.8125,0.0
56,,,,
57,Seed Co Limited,210.0,178.6133,1488600.0
58,,,,
59,Starafricacorporation Limited,2.3495,2.3735,8021200.0
60,,,,
61,Tanganda Tea Company Limited,182.95,155.9315,396400.0
62,,,,
63,Tsl Limited,199.995,199.995,0.0
64,,,,
65,Turnall Holdings Limited,5.5,5.5,6000.0
66,,,,
67,Unifreight Africa Limited,248.25,212.0,1100.0
68,,,,
69,Willdale Limited,6.0,6.0,800.0
70,,,,
71,Zb Financial Holdings Limited,480.0,480.0,0.0
72,,,,
73,Zeco Holdings Limited,0.0018,0.0018,0.0
74,Zimbabwe Newspapers (1980) Limited,15.0,15.0,0.0
75,,,,
76,Zimre Holdings Limited,19.5,18.0686,1101500.0
77,,,,12539200.0
78,,,,
79,,,,12539200.0
