,0,1,2,3
3,EQUITIES,,,
4,,,,
5,Afdis Distillers Limited,298.5875,298.5875,0.0
6,,,,
7,African Sun Limited,87.0615,86.911,14600.0
8,,,,
9,Amalgamated Regional Trading (Art) Holdings Limited,29.3636,29.3636,0.0
10,,,,
11,,,,
12,Ariston Holdings Limited,10.3598,10.3978,4600.0
13,,,,
14,Bridgefort Capital Limited,9.2053,9.2053,0.0
15,,,,
16,Bridgefort Capital Limited Class B,29.3,29.3,0.0
17,,,,
18,British American Tobacco Zimbabwe Limited,2733.0333,2733.0333,0.0
19,,,,
20,,,,
21,Cafca Limited,360.0,379.7775,37300.0
22,,,,
23,Cbz Holdings Limited,175.6627,175.7944,7200.0
24,,,,
25,Cfi Holdings Limited,588.8,588.8,0.0
26,,,,
27,Dairibord Holdings Limited,100.0,98.6,500.0
28,,,,
29,Delta Corporation Limited,755.0543,782.861,207400.0
30,,,,
31,Ecocash Holdings Zimbabwe Limited,79.103,76.3234,139600.0
32,,,,
33,Econet Wireless Zimbabwe Limited,264.8706,256.6204,70600.0
34,,,,
35,Edgars Stores Limited,20.0146,23.0,2200.0
36,,,,
37,Fbc Holdings Limited,98.4655,98.4655,0.0
38,,,,
39,Fidelity Life Assurance Limited,30.0,30.0,0.0
40,,,,
41,First Capital Bank Limited,32.864,33.8065,17700.0
42,,,,
43,First Mutual Holdings Limited,20.0,20.0,6200.0
44,,,,
45,First Mutual Properties Limited,16.26,16.3,17700.0
46,,,,
47,General Beltings Holdings Limited,2.0,2.0,1400.0
48,,,,
49,Getbucks Microfinance Bank Limited,23.0,23.0,0.0
50,,,,
51,Hippo Valley Estates Limited,600.0,600.75,2000.0
52,,,,
53,Mashonaland Holdings Limited,11.5222,13.25,31700.0
54,,,,
55,Masimba Holdings Limited,125.0,137.5,7500.0
56,,,,
57,Meikles Limited,315.0,315.0325,8300.0
58,,,,
59,Nampak Zimbabwe Limited,30.0,30.25,800.0
60,,,,
61,National Tyre Services Limited,14.0,14.0,0.0
62,,,,
63,Nmbz Holdings Limited,51.717,53.0,300.0
64,,,,
65,Ok Zimbabwe Limited,69.0379,69.1084,16600.0
66,,,,
67,Proplastics Limited,95.0,95.0,12100.0
68,,,,
69,Rainbow Tourism Group Limited,13.5,13.5,23000.0
70,,,,
71,Riozim Limited,205.3115,205.3115,0.0
72,,,,
73,Seed Co Limited,230.0,229.9596,2600.0
74,Starafricacorporation Limited,1.5248,1.57,68900.0
75,,,,
76,Tanganda Tea Company Limited,341.3754,345.0246,12200.0
77,,,,
78,Truworths Limited,2.4643,2.4643,0.0
79,,,,
80,Tsl Limited,85.0,97.25,2300.0
81,,,,
82,Turnall Holdings Limited,7.0069,7.0069,0.0
83,,,,
84,Unifreight Africa Limited,70.0,70.0,100.0
85,,,,
86,Willdale Limited,3.5,3.5247,166100.0
87,,,,
88,Zb Financial Holdings Limited,104.25,101.9688,3200.0
89,,,,
90,Zeco Holdings Limited,0.0331,0.0331,0.0
91,,,,
92,Zimbabwe Newspapers (1980) Limited,6.0,6.0,100.0
93,,,,
94,Zimplow Holdings Limited,36.5,36.5,2300.0
95,,,,
96,Zimre Holdings Limited,11.5,11.5646,27100.0
97,,,,914200.0
98,,,,
99,,,,914200.0
