,0,1,2,3,4
3,,EQUITIES,,,
4,,,,,
5,1.0,Afdis Distillers Limited,2600.0,2990.0,6800.0
6,,,,,
7,2.0,Amalgamated Regional Trading (Art) Holdings Limited,64.0,64.0,0.0
8,,,,,
9,,,,,
10,3.0,Ariston Holdings Limited,47.0,47.0,300.0
11,,,,,
12,4.0,Bridgefort Capital Limited,17.0,17.0,0.0
13,,,,,
14,5.0,Bridgefort Capital Limited Class B,33.65,33.65,0.0
15,,,,,
16,6.0,British American Tobacco Zimbabwe Limited,13100.0,13100.0,400.0
17,,,,,
18,,,,,
19,7.0,Cafca Limited,3846.0,4422.45,200.0
20,,,,,
21,8.0,Cbz Holdings Limited,3250.7576,3250.7576,0.0
22,,,,,
23,9.0,Cfi Holdings Limited,2185.0,2185.0,0.0
24,,,,,
25,10.0,Dairibord Holdings Limited,606.9943,606.0,5800.0
26,,,,,
27,11.0,Delta Corporation Limited,3568.3282,3887.0593,202700.0
28,,,,,
29,12.0,Ecocash Holdings Zimbabwe Limited,190.78,202.1527,98100.0
30,,,,,
31,13.0,Econet Wireless Zimbabwe Limited,851.9732,907.0196,282200.0
32,,,,,
33,14.0,Edgars Stores Limited,90.0,100.0,50300.0
34,,,,,
35,15.0,Fbc Holdings Limited,906.1,906.1,0.0
36,,,,,
37,16.0,Fidelity Life Assurance Limited,270.0,310.0,10000.0
38,,,,,
39,17.0,First Mutual Holdings Limited,1046.856,1054.5455,5500.0
40,,,,,
41,18.0,First Mutual Properties Limited,322.05,322.05,2800.0
42,,,,,
43,19.0,General Beltings Holdings Limited,24.0,24.0,40600.0
44,,,,,
45,20.0,Hippo Valley Estates Limited,2100.0,2100.0,3600.0
46,,,,,
47,21.0,Mashonaland Holdings Limited,141.5,160.0,200.0
48,,,,,
49,22.0,Masimba Holdings Limited,810.0,810.0,2500.0
50,,,,,
51,23.0,Meikles Limited,1400.0,1477.3176,27200.0
52,,,,,
53,24.0,Nampak Zimbabwe Limited,295.0,295.0,0.0
54,,,,,
55,25.0,National Tyre Services Limited,49.4,49.4,0.0
56,,,,,
57,26.0,Nmbz Holdings Limited,680.0,680.0,0.0
58,,,,,
59,27.0,Ok Zimbabwe Limited,213.714,214.9988,607000.0
60,,,,,
61,28.0,Proplastics Limited,608.0,608.0,0.0
62,,,,,
63,29.0,Rainbow Tourism Group Limited,160.0,160.0,13800.0
64,,,,,
65,30.0,Riozim Limited,800.0,800.0,0.0
66,,,,,
67,31.0,Seed Co Limited,861.696,990.0,600.0
68,,,,,
69,32.0,Starafricacorporation Limited,7.352,8.015,414800.0
70,,,,,
71,33.0,Tanganda Tea Company Limited,956.9078,961.5377,64000.0
72,34.0,Truworths Limited,39.0,39.0,500.0
73,,,,,
74,35.0,Tsl Limited,1100.0,1100.0,9900.0
75,,,,,
76,36.0,Turnall Holdings Limited,40.0,36.4286,700.0
77,,,,,
78,37.0,Unifreight Africa Limited,250.0,250.0,0.0
79,,,,,
80,38.0,Willdale Limited,40.2581,39.863,21900.0
81,,,,,
82,39.0,Zb Financial Holdings Limited,900.0,900.0,0.0
83,,,,,
84,40.0,Zeco Holdings Limited,0.04,0.04,0.0
85,,,,,
86,41.0,Zimbabwe Newspapers (1980) Limited,34.0,34.0,1800.0
87,,,,,
88,42.0,Zimre Holdings Limited,174.9781,174.95,8700.0
