,0,1,2,3
3,EQUITIES,,,
4,,,,
5,Afdis Distillers Limited,700.0,700.0,14200.0
6,,,,
7,Amalgamated Regional Trading (Art) Holdings Limited,23.65,23.65,0.0
8,,,,
9,,,,
10,Ariston Holdings Limited,6.0,6.0,4100.0
11,,,,
12,British American Tobacco Zimbabwe Limited,9260.0,10500.0,14000.0
13,,,,
14,,,,
15,Cafca Limited,2050.0,2050.0,0.0
16,,,,
17,Cbz Holdings Limited,855.0046,856.0,400.0
18,,,,
19,Cfi Holdings Limited,418.0,418.0,0.0
20,,,,
21,Dairibord Holdings Limited,224.0,224.0,0.0
22,,,,
23,Delta Corporation Limited,1397.795,1396.7791,305000.0
24,,,,
25,Ecocash Holdings Zimbabwe Limited,27.0366,27.8289,9000.0
26,,,,
27,Econet Wireless Zimbabwe Limited,272.6955,273.2034,189500.0
28,,,,
29,Fbc Holdings Limited,950.0,950.0,98700.0
30,,,,
31,Fidelity Life Assurance Limited,39.55,40.0,2000.0
32,,,,
33,First Mutual Holdings Limited,443.8,443.85,100.0
34,,,,
35,First Mutual Properties Limited,122.95,122.95,0.0
36,,,,
37,General Beltings Holdings Limited,7.8,7.8,0.0
38,,,,
39,Hippo Valley Estates Limited,615.4922,580.0,51400.0
40,,,,
41,Mashonaland Holdings Limited,205.0,205.0,0.0
42,,,,
43,Masimba Holdings Limited,332.95,332.95,0.0
44,,,,
45,Nampak Zimbabwe Limited,100.0,100.0,0.0
46,,,,
47,National Tyre Services Limited,66.526,66.526,0.0
48,,,,
49,Nmbz Holdings Limited,370.25,370.25,0.0
50,,,,
51,Ok Zimbabwe Limited,39.822,40.0001,9534000.0
52,,,,
53,Proplastics Limited,112.5089,113.0,100.0
54,,,,
55,Rainbow Tourism Group Limited,60.25,60.25,0.0
56,,,,
57,Riozim Limited,130.0,130.0,0.0
58,,,,
59,Seed Co Limited,210.0896,210.0896,0.0
60,,,,
61,Starafricacorporation Limited,2.0029,2.0029,0.0
62,,,,
63,Tanganda Tea Company Limited,215.2,215.2,0.0
64,,,,
65,Tsl Limited,200.0,200.0,0.0
66,,,,
67,Turnall Holdings Limited,6.0,6.0,1000.0
68,,,,
69,Unifreight Africa Limited,248.25,248.25,0.0
70,,,,
71,Willdale Limited,6.0,6.0,5000.0
72,,,,
73,Zb Financial Holdings Limited,480.0,480.0,200.0
74,,,,
75,Zeco Holdings Limited,0.0018,0.0018,0.0
76,Zimbabwe Newspapers (1980) Limited,15.0,15.0,0.0
77,,,,
78,Zimre Holdings Limited,15.05,15.0015,3400.0
79,,,,10232100.0
80,,,,
81,,,,10232100.0
