,0,1,2,3
3,Afdis Distillers Limited,660.0,680.0,15000.0
4,,,,
5,Amalgamated Regional Trading (Art) Holdings Limited,19.6564,19.6564,0.0
6,,,,
7,,,,
8,Ariston Holdings Limited,6.0,6.0,2600.0
9,,,,
10,British American Tobacco Zimbabwe Limited,11055.0,11055.0,0.0
11,,,,
12,,,,
13,Cafca Limited,1999.95,1999.95,0.0
14,,,,
15,Cbz Holdings Limited,700.0,718.75,800.0
16,,,,
17,Cfi Holdings Limited,539.85,539.85,0.0
18,,,,
19,Dairibord Holdings Limited,171.0,170.95,5800.0
20,,,,
21,Delta Corporation Limited,1341.4304,1348.1094,357000.0
22,,,,
23,Ecocash Holdings Zimbabwe Limited,13.0,12.9866,86400.0
24,,,,
25,Econet Wireless Zimbabwe Limited,275.1236,274.0432,6440700.0
26,,,,
27,Fbc Holdings Limited,760.0,760.0,0.0
28,,,,
29,Fidelity Life Assurance Limited,43.05,43.05,0.0
30,,,,
31,First Mutual Holdings Limited,448.0,448.0,0.0
32,,,,
33,First Mutual Properties Limited,120.0,120.0,0.0
34,,,,
35,General Beltings Holdings Limited,10.0,10.0,0.0
36,,,,
37,Hippo Valley Estates Limited,803.0536,820.0781,38400.0
38,,,,
39,Mashonaland Holdings Limited,95.0,95.0098,1592200.0
40,,,,
41,Masimba Holdings Limited,359.9833,358.0,32000.0
42,,,,
43,Nampak Zimbabwe Limited,110.0,110.0,0.0
44,,,,
45,National Tyre Services Limited,66.55,66.55,0.0
46,,,,
47,Nmbz Holdings Limited,370.0,371.0,10000.0
48,,,,
49,Ok Zimbabwe Limited,38.7,38.7,181200.0
50,,,,
51,Proplastics Limited,85.0,85.0,630100.0
52,,,,
53,Rainbow Tourism Group Limited,63.0,63.5,200.0
54,,,,
55,Riozim Limited,80.0,80.0,100.0
56,,,,
57,Seed Co Limited,300.0,300.0,0.0
58,,,,
59,Starafricacorporation Limited,2.9,3.5972,32600.0
60,,,,
61,Tanganda Tea Company Limited,87.1,81.3196,706400.0
62,,,,
63,Tsl Limited,259.95,260.0,100.0
64,,,,
65,Turnall Holdings Limited,6.0,6.0,0.0
66,,,,
67,Unifreight Africa Limited,180.0,180.0,0.0
68,,,,
69,Willdale Limited,4.0,4.0,0.0
70,,,,
71,Zb Financial Holdings Limited,550.0,467.5,100.0
72,,,,
73,Zeco Holdings Limited,0.0018,0.0018,0.0
74,Zimbabwe Newspapers (1980) Limited,15.4,15.4,0.0
75,,,,
76,Zimre Holdings Limited,32.8,35.0,1700.0
77,,,,10133400.0
78,,,,
79,,,,10133400.0
