,0,1,2,3
3,Afdis Distillers Limited,660.0,660.0,0.0
4,,,,
5,Amalgamated Regional Trading (Art) Holdings Limited,30.05,30.05,0.0
6,,,,
7,,,,
8,Ariston Holdings Limited,5.99,5.9,100.0
9,,,,
10,British American Tobacco Zimbabwe Limited,9500.0,9500.0,0.0
11,,,,
12,,,,
13,Cafca Limited,2200.0,2200.0,0.0
14,,,,
15,Cbz Holdings Limited,700.0,700.0248,21000.0
16,,,,
17,Cfi Holdings Limited,552.3,552.3,0.0
18,,,,
19,Dairibord Holdings Limited,180.0,180.0,0.0
20,,,,
21,Delta Corporation Limited,1523.9922,1521.1707,400900.0
22,,,,
23,Ecocash Holdings Zimbabwe Limited,17.4029,17.2439,31800.0
24,,,,
25,Econet Wireless Zimbabwe Limited,351.0826,350.9862,5080500.0
26,,,,
27,Fbc Holdings Limited,751.0,751.072,62500.0
28,,,,
29,Fidelity Life Assurance Limited,50.0,50.0,0.0
30,,,,
31,First Mutual Holdings Limited,375.4795,391.0,1000.0
32,,,,
33,First Mutual Properties Limited,113.5,113.5,0.0
34,,,,
35,General Beltings Holdings Limited,6.0237,11.95,1500.0
36,,,,
37,Hippo Valley Estates Limited,617.0,618.0,600.0
38,,,,
39,Mashonaland Holdings Limited,110.1125,110.1125,0.0
40,,,,
41,Masimba Holdings Limited,370.0,370.0,0.0
42,,,,
43,Nampak Zimbabwe Limited,114.6333,114.6333,0.0
44,,,,
45,National Tyre Services Limited,66.526,66.526,0.0
46,,,,
47,Nmbz Holdings Limited,373.3125,373.3125,0.0
48,,,,
49,Ok Zimbabwe Limited,40.9978,41.0,2000.0
50,,,,
51,Proplastics Limited,110.0,110.25,300.0
52,,,,
53,Rainbow Tourism Group Limited,68.25,68.25,0.0
54,,,,
55,Riozim Limited,99.65,86.95,481900.0
56,,,,
57,Seed Co Limited,425.0746,393.435,29600.0
58,,,,
59,Starafricacorporation Limited,3.6379,3.5242,17300.0
60,,,,
61,Tanganda Tea Company Limited,102.05,105.0038,1300.0
62,,,,
63,Tsl Limited,240.0,240.0,0.0
64,,,,
65,Turnall Holdings Limited,5.02,5.0414,5900.0
66,,,,
67,Unifreight Africa Limited,180.0,185.25,1700.0
68,,,,
69,Willdale Limited,3.8,3.0227,17600.0
70,,,,
71,Zb Financial Holdings Limited,500.0,575.0,500.0
72,,,,
73,Zeco Holdings Limited,0.0018,0.0018,0.0
74,Zimbabwe Newspapers (1980) Limited,20.0,20.0,0.0
75,,,,
76,Zimre Holdings Limited,27.0,27.05,6700.0
77,,,,6164700.0
78,,,,
79,,,,6164700.0
