,0,1,2,3,4,5,6,7
3,EQUITIES,EQUITIES,,,,,,
4,,,,,,,,
5,Afdis Distillers Limited,Afdis Distillers Limited,Afdis Distillers Limited,,,280.0,280.0,9400.0
6,,,,,,,,
7,African Sun Limited,African Sun Limited,,,,92.9996,92.6618,1700.0
8,,,,,,,,
9,Amalgamated Regional Trading (Art) Holdings Limited,Amalgamated Regional Trading (Art) Holdings Limited,Amalgamated Regional Trading (Art) Holdings Limited,Amalgamated Regional Trading (Art) Holdings Limited,Amalgamated Regional Trading (Art) Holdings Limited,22.05,22.0,800.0
10,,,,,,,,
11,,,,,,,,
12,Ariston Holdings Limited,Ariston Holdings Limited,Ariston Holdings Limited,,,9.9,11.0,3500.0
13,,,,,,,,
14,Bridgefort Capital Limited,Bridgefort Capital Limited,Bridgefort Capital Limited,,,9.2,9.2,200.0
15,,,,,,,,
16,Bridgefort Capital Limited Class B,Bridgefort Capital Limited Class B,Bridgefort Capital Limited Class B,Bridgefort Capital Limited Class B,,26.0,26.0,0.0
17,,,,,,,,
18,British American Tobacco Zimbabwe Limited,British American Tobacco Zimbabwe Limited,British American Tobacco Zimbabwe Limited,British American Tobacco Zimbabwe Limited,British American Tobacco Zimbabwe Limited,2773.0,2773.0,0.0
19,,,,,,,,
20,,,,,,,,
21,Cafca Limited,Cafca Limited,,,,349.85,349.85,0.0
22,,,,,,,,
23,Cbz Holdings Limited,Cbz Holdings Limited,,,,140.0714,140.0714,0.0
24,,,,,,,,
25,Cfi Holdings Limited,Cfi Holdings Limited,,,,588.8,588.8,0.0
26,,,,,,,,
27,Dairibord Holdings Limited,Dairibord Holdings Limited,Dairibord Holdings Limited,,,90.7,90.0,100.0
28,,,,,,,,
29,Delta Corporation Limited,Delta Corporation Limited,Delta Corporation Limited,,,515.0,520.4786,605900.0
30,,,,,,,,
31,Ecocash Holdings Zimbabwe Limited,Ecocash Holdings Zimbabwe Limited,Ecocash Holdings Zimbabwe Limited,Ecocash Holdings Zimbabwe Limited,,69.9333,65.9091,1100.0
32,,,,,,,,
33,Econet Wireless Zimbabwe Limited,Econet Wireless Zimbabwe Limited,Econet Wireless Zimbabwe Limited,Econet Wireless Zimbabwe Limited,,174.9956,178.0745,200600.0
34,,,,,,,,
35,Edgars Stores Limited,Edgars Stores Limited,Edgars Stores Limited,,,16.1101,16.5,200.0
36,,,,,,,,
37,Fbc Holdings Limited,Fbc Holdings Limited,,,,82.25,83.0,3800.0
38,,,,,,,,
39,Fidelity Life Assurance Limited,Fidelity Life Assurance Limited,Fidelity Life Assurance Limited,,,29.0,29.0,0.0
40,,,,,,,,
41,First Capital Bank Limited,First Capital Bank Limited,First Capital Bank Limited,,,18.5021,18.4994,7900.0
42,,,,,,,,
43,First Mutual Holdings Limited,First Mutual Holdings Limited,First Mutual Holdings Limited,,,19.5,19.5,0.0
44,,,,,,,,
45,First Mutual Properties Limited,First Mutual Properties Limited,First Mutual Properties Limited,,,15.5,15.5,4200.0
46,,,,,,,,
47,General Beltings Holdings Limited,General Beltings Holdings Limited,General Beltings Holdings Limited,General Beltings Holdings Limited,,1.9231,1.9,3100.0
48,,,,,,,,
49,Getbucks Microfinance Bank Limited,Getbucks Microfinance Bank Limited,Getbucks Microfinance Bank Limited,Getbucks Microfinance Bank Limited,,23.0,23.0,300.0
50,,,,,,,,
51,Hippo Valley Estates Limited,Hippo Valley Estates Limited,Hippo Valley Estates Limited,,,499.9902,499.9671,60100.0
52,,,,,,,,
53,Mashonaland Holdings Limited,Mashonaland Holdings Limited,Mashonaland Holdings Limited,,,8.9164,8.9835,1700.0
54,,,,,,,,
55,Masimba Holdings Limited,Masimba Holdings Limited,Masimba Holdings Limited,,,118.0,118.0,100.0
56,,,,,,,,
57,Meikles Limited,Meikles Limited,,,,195.0,195.15,9700.0
58,,,,,,,,
59,Nampak Zimbabwe Limited,Nampak Zimbabwe Limited,Nampak Zimbabwe Limited,,,26.0,26.2981,10800.0
60,,,,,,,,
61,National Tyre Services Limited,National Tyre Services Limited,National Tyre Services Limited,,,12.5,12.5,0.0
62,,,,,,,,
63,Nmbz Holdings Limited,Nmbz Holdings Limited,Nmbz Holdings Limited,,,45.0,45.0,0.0
64,,,,,,,,
65,Ok Zimbabwe Limited,Ok Zimbabwe Limited,Ok Zimbabwe Limited,,,56.6993,56.0298,14908400.0
66,,,,,,,,
67,Proplastics Limited,Proplastics Limited,,,,79.95,79.95,0.0
68,,,,,,,,
69,Rainbow Tourism Group Limited,Rainbow Tourism Group Limited,Rainbow Tourism Group Limited,,,14.0,14.0,1900.0
70,,,,,,,,
71,Riozim Limited,Riozim Limited,,,,184.0,184.0,0.0
72,,,,,,,,
73,Seed Co Limited,Seed Co Limited,,,,195.5882,196.1481,15800.0
74,Starafricacorporation Limited,Starafricacorporation Limited,Starafricacorporation Limited,,,1.8102,1.6968,21000.0
75,,,,,,,,
76,Tanganda Tea Company Limited,Tanganda Tea Company Limited,Tanganda Tea Company Limited,Tanganda Tea Company Limited,,271.6917,299.6471,25500.0
77,,,,,,,,
78,Truworths Limited,Truworths Limited,,,,2.8006,2.8006,0.0
79,,,,,,,,
80,Tsl Limited,Tsl Limited,,,,63.05,65.0094,8000.0
81,,,,,,,,
82,Turnall Holdings Limited,Turnall Holdings Limited,Turnall Holdings Limited,,,7.5043,7.55,200.0
83,,,,,,,,
84,Unifreight Africa Limited,Unifreight Africa Limited,Unifreight Africa Limited,,,63.0,63.0,0.0
85,,,,,,,,
86,Willdale Limited,Willdale Limited,,,,3.55,3.5,44200.0
87,,,,,,,,
88,Zb Financial Holdings Limited,Zb Financial Holdings Limited,Zb Financial Holdings Limited,,,115.0,115.0,0.0
89,,,,,,,,
90,Zeco Holdings Limited,Zeco Holdings Limited,Zeco Holdings Limited,,,0.0331,0.0331,0.0
91,,,,,,,,
