,0,1,2,3,4
3,2.0,Amalgamated Regional Trading (Art) Holdings Limited,8.0825,8.0,200.0
4,,,,,
5,,,,,
6,3.0,Ariston Holdings Limited,3.99,4.0,4500.0
7,,,,,
8,4.0,Bridgefort Capital Limited,1.4007,1.4007,0.0
9,,,,,
10,5.0,Bridgefort Capital Limited Class B,1.3207,1.3207,0.0
11,,,,,
12,6.0,British American Tobacco Zimbabwe Limited,2199.975,2184.95,13800.0
13,,,,,
14,,,,,
15,7.0,Cafca Limited,621.3121,621.3121,0.0
16,,,,,
17,8.0,Cbz Holdings Limited,360.0493,362.0,100.0
18,,,,,
19,9.0,Cfi Holdings Limited,140.05,160.0,1900.0
20,,,,,
21,10.0,Dairibord Holdings Limited,80.0,80.0,0.0
22,,,,,
23,11.0,Delta Corporation Limited,849.4637,852.4191,88300.0
24,,,,,
25,12.0,Ecocash Holdings Zimbabwe Limited,19.1389,16.5134,30163600.0
26,,,,,
27,13.0,Econet Wireless Zimbabwe Limited,166.7811,167.1762,264300.0
28,,,,,
29,14.0,Fbc Holdings Limited,195.0,195.0,0.0
30,,,,,
31,15.0,Fidelity Life Assurance Limited,90.0,90.0,0.0
32,,,,,
33,16.0,First Mutual Holdings Limited,205.0,205.0,0.0
34,,,,,
35,17.0,First Mutual Properties Limited,40.05,40.05,0.0
36,,,,,
37,18.0,General Beltings Holdings Limited,5.0025,5.0025,0.0
38,,,,,
39,19.0,Hippo Valley Estates Limited,482.9655,482.9655,0.0
40,,,,,
41,20.0,Mashonaland Holdings Limited,14.0909,14.0658,1900.0
42,,,,,
43,21.0,Masimba Holdings Limited,153.925,153.95,100.0
44,,,,,
45,22.0,Meikles Limited,409.2941,409.3,2000.0
46,,,,,
47,23.0,Nampak Zimbabwe Limited,41.0,44.0,500.0
48,,,,,
49,24.0,National Tyre Services Limited,12.8064,12.8064,0.0
50,,,,,
51,25.0,Nmbz Holdings Limited,186.0,186.0,0.0
52,,,,,
53,26.0,Ok Zimbabwe Limited,46.1056,46.1056,0.0
54,,,,,
55,27.0,Proplastics Limited,35.0,40.1522,2300.0
56,,,,,
57,28.0,Rainbow Tourism Group Limited,22.0,22.0,0.0
58,,,,,
59,29.0,Riozim Limited,63.0,63.0,0.0
60,,,,,
61,30.0,Seed Co Limited,170.0,170.0474,125900.0
62,,,,,
63,31.0,Starafricacorporation Limited,0.8547,0.843,375100.0
64,,,,,
65,32.0,Tanganda Tea Company Limited,145.25,146.0,173800.0
66,,,,,
67,33.0,Tsl Limited,110.0,109.95,415200.0
68,,,,,
69,34.0,Turnall Holdings Limited,2.93,2.93,0.0
70,,,,,
71,35.0,Unifreight Africa Limited,33.35,33.35,0.0
72,36.0,Willdale Limited,4.5,4.0,304000.0
73,,,,,
74,37.0,Zb Financial Holdings Limited,190.0,190.0,0.0
75,,,,,
76,38.0,Zeco Holdings Limited,0.0018,0.0018,0.0
77,,,,,
78,39.0,Zimbabwe Newspapers (1980) Limited,4.66,4.66,0.0
79,,,,,
80,40.0,Zimre Holdings Limited,31.9935,31.9,6000.0
