Name,Opening_Price,Closing_Price,Volume_Traded
EQUITIES,,,
Afdis Distillers Limited,324.9,324.9,0.0
African Sun Limited,17.2353,16.2857,1400.0
Amalgamated Regional Trading (Art) Holdings Limited,17.0,17.0,100.0
Ariston Holdings Limited,2.5,2.6,7000.0
Axia Corporation Limited,67.9939,68.0023,87000.0
Bridgefort Capital Limited,19.0,19.0,0.0
Bridgefort Capital Limited Class B,26.0,26.0,0.0
British American Tobacco Zimbabwe Limited,2449.0,2449.0,0.0
Cafca Limited,235.5,235.5,0.0
Cbz Holdings Limited,125.0562,124.9943,6100.0
Cfi Holdings Limited,370.0,370.0,0.0
Dairibord Holdings Limited,28.0,28.0,500.0
Delta Corporation Limited,218.6132,220.0869,670300.0
Ecocash Holdings Zimbabwe Limited,46.166,42.95,15900.0
Econet Wireless Zimbabwe Limited,144.1005,136.4675,7700.0
Edgars Stores Limited,6.75,7.75,1200.0
Fbc Holdings Limited,58.85,58.85,489400.0
Fidelity Life Assurance Limited,22.0,22.0,200.0
First Capital Bank Limited,7.0004,7.8357,2800.0
First Mutual Holdings Limited,19.0,19.0,300.0
First Mutual Properties Limited,8.34,7.6481,2100.0
General Beltings Holdings Limited,1.5,1.5,0.0
Getbucks Microfinance Bank Limited,17.0,17.0,0.0
Hippo Valley Estates Limited,245.0,245.0,100.0
Innscor Africa Limited,265.162,265.2956,126800.0
Lafarge Cement Zimbabwe Limited,120.0,120.0,39300.0
Mashonaland Holdings Limited,4.9974,5.0,767100.0
Masimba Holdings Limited,50.0,50.0,200.0
Meikles Limited,105.0,99.8271,6100.0
Nampak Zimbabwe Limited,10.8849,10.8849,0.0
National Foods Holdings Limited,1750.0,1750.0,0.0
National Tyre Services Limited,10.5,10.5,0.0
Nmbz Holdings Limited,17.0,16.5,300.0
Ok Zimbabwe Limited,30.0,29.9998,3317100.0
Proplastics Limited,25.0,25.0,0.0
Rainbow Tourism Group Limited,9.0,7.85,1100.0
Riozim Limited,93.5238,93.5238,0.0
Seed Co Limited,90.2632,89.9616,29000.0
Simbisa Brands Limited,178.8152,173.9869,193500.0
Starafricacorporation Limited,1.5462,1.5386,76600.0
Tanganda Tea Company Limited,138.0,132.3133,15000.0
Truworths Limited,2.0,2.0,1000.0
Tsl Limited,85.0,72.25,5000.0
Turnall Holdings Limited,4.5725,4.57,263600.0
Unifreight Africa Limited,43.0556,43.0556,0.0
Willdale Limited,2.3294,2.2358,23700.0
Zb Financial Holdings Limited,114.0,114.0,0.0
Zeco Holdings Limited,0.0288,0.0288,0.0
Zimbabwe Newspapers (1980) Limited,4.25,4.2353,34100.0
Zimplow Holdings Limited,16.2545,16.2545,0.0
Zimre Holdings Limited,3.75,4.0,2000.0
,,,6193600.0
,,,6193600.0
