,0,1,2,3
3,Afdis Distillers Limited,660.0,660.0,100.0
4,,,,
5,Amalgamated Regional Trading (Art) Holdings Limited,36.05,36.05,0.0
6,,,,
7,,,,
8,Ariston Holdings Limited,6.0,6.0,2700.0
9,,,,
10,British American Tobacco Zimbabwe Limited,11700.0,11700.0,0.0
11,,,,
12,,,,
13,Cafca Limited,2200.0,2200.0,0.0
14,,,,
15,Cbz Holdings Limited,778.1828,776.0,400.0
16,,,,
17,Cfi Holdings Limited,552.3,552.3,0.0
18,,,,
19,Dairibord Holdings Limited,146.0,146.25,400.0
20,,,,
21,Delta Corporation Limited,1509.1604,1510.6328,135800.0
22,,,,
23,Ecocash Holdings Zimbabwe Limited,21.533,21.3409,4400.0
24,,,,
25,Econet Wireless Zimbabwe Limited,361.2287,366.3799,63900.0
26,,,,
27,Fbc Holdings Limited,750.0,750.1,18700.0
28,,,,
29,Fidelity Life Assurance Limited,52.0,52.0,0.0
30,,,,
31,First Mutual Holdings Limited,400.0,400.0,0.0
32,,,,
33,First Mutual Properties Limited,94.95,94.95,0.0
34,,,,
35,General Beltings Holdings Limited,6.0,6.0,0.0
36,,,,
37,Hippo Valley Estates Limited,619.6066,611.0,17900.0
38,,,,
39,Mashonaland Holdings Limited,133.0,133.0,0.0
40,,,,
41,Masimba Holdings Limited,370.0,370.0,0.0
42,,,,
43,Nampak Zimbabwe Limited,60.0,65.0,500000.0
44,,,,
45,National Tyre Services Limited,66.526,66.526,0.0
46,,,,
47,Nmbz Holdings Limited,370.815,371.9387,118700.0
48,,,,
49,Ok Zimbabwe Limited,40.007,40.05,2800.0
50,,,,
51,Proplastics Limited,111.8,111.8,9000.0
52,,,,
53,Rainbow Tourism Group Limited,65.15,65.15,0.0
54,,,,
55,Riozim Limited,102.4,102.4,0.0
56,,,,
57,Seed Co Limited,370.011,376.0041,38200.0
58,,,,
59,Starafricacorporation Limited,4.0,4.0,18000.0
60,,,,
61,Tanganda Tea Company Limited,100.9888,100.85,8500.0
62,,,,
63,Tsl Limited,163.2075,163.2075,0.0
64,,,,
65,Turnall Holdings Limited,5.9798,5.9798,0.0
66,,,,
67,Unifreight Africa Limited,204.0,200.0,100.0
68,,,,
69,Willdale Limited,3.0,3.0,0.0
70,,,,
71,Zb Financial Holdings Limited,400.5323,400.5323,0.0
72,,,,
73,Zeco Holdings Limited,0.0018,0.0018,0.0
74,Zimbabwe Newspapers (1980) Limited,20.0,20.0,0.0
75,,,,
76,Zimre Holdings Limited,28.0,24.0,700.0
77,,,,940300.0
78,,,,
79,,,,940300.0
