,0,1,2,3,4
3,,,,,
4,2.0,Amalgamated Regional Trading (Art) Holdings Limited,11.0,11.0,0.0
5,,,,,
6,3.0,Ariston Holdings Limited,4.6,4.3945,5300.0
7,,,,,
8,4.0,Bridgefort Capital Limited,1.51,1.51,0.0
9,,,,,
10,5.0,Bridgefort Capital Limited Class B,2.64,2.64,0.0
11,,,,,
12,6.0,British American Tobacco Zimbabwe Limited,4333.6,4333.6,0.0
13,,,,,
14,7.0,Cafca Limited,1699.9712,1720.0,200.0
15,,,,,
16,8.0,Cbz Holdings Limited,1575.0,1575.0,100.0
17,,,,,
18,9.0,Cfi Holdings Limited,212.9,212.9,0.0
19,,,,,
20,10.0,Dairibord Holdings Limited,305.0,305.0,45800.0
21,,,,,
22,11.0,Delta Corporation Limited,1399.9769,1398.1614,449500.0
23,,,,,
24,12.0,Ecocash Holdings Zimbabwe Limited,49.9138,49.4341,62800.0
25,,,,,
26,13.0,Econet Wireless Zimbabwe Limited,394.6799,352.5,6000.0
27,,,,,
28,14.0,Fbc Holdings Limited,310.0,310.0,0.0
29,,,,,
30,15.0,Fidelity Life Assurance Limited,120.75,120.75,0.0
31,,,,,
32,16.0,First Mutual Holdings Limited,210.0,210.0,0.0
33,,,,,
34,17.0,First Mutual Properties Limited,29.034,29.0,200.0
35,,,,,
36,18.0,General Beltings Holdings Limited,5.04,5.04,0.0
37,,,,,
38,19.0,Hippo Valley Estates Limited,700.0,700.05,20000.0
39,,,,,
40,20.0,Mashonaland Holdings Limited,36.3229,37.0592,15200.0
41,,,,,
42,21.0,Masimba Holdings Limited,230.0,230.0,0.0
43,,,,,
44,22.0,Meikles Limited,740.0,740.0,0.0
45,,,,,
46,23.0,Nampak Zimbabwe Limited,110.2273,110.1638,2900.0
47,,,,,
48,24.0,National Tyre Services Limited,25.0,25.0,0.0
49,,,,,
50,25.0,Nmbz Holdings Limited,280.0,280.0,0.0
51,,,,,
52,26.0,Ok Zimbabwe Limited,71.5223,80.0,100.0
53,,,,,
54,27.0,Proplastics Limited,148.0,170.0,600.0
55,,,,,
56,28.0,Rainbow Tourism Group Limited,34.05,34.05,400.0
57,,,,,
58,29.0,Riozim Limited,109.0,125.0,1000.0
59,,,,,
60,30.0,Seed Co Limited,335.0028,339.9465,74800.0
61,,,,,
62,31.0,Starafricacorporation Limited,0.9686,0.9595,782400.0
63,,,,,
64,32.0,Tanganda Tea Company Limited,400.0,400.0,13600.0
65,,,,,
66,33.0,Tsl Limited,353.0,353.0,0.0
67,,,,,
68,34.0,Turnall Holdings Limited,5.02,5.3,23200.0
69,,,,,
70,35.0,Unifreight Africa Limited,80.25,80.25,0.0
71,,,,,
72,36.0,Willdale Limited,3.9941,4.0,51500.0
73,,,,,
74,37.0,Zb Financial Holdings Limited,1200.0,1200.0,0.0
75,,,,,
76,38.0,Zeco Holdings Limited,0.0018,0.0018,0.0
77,,,,,
78,39.0,Zimbabwe Newspapers (1980) Limited,4.6741,5.0,46500.0
79,,,,,
80,40.0,Zimre Holdings Limited,27.001,27.001,0.0
