,0,1,2,3
3,Afdis Distillers Limited,660.0,660.0,0.0
4,,,,
5,Amalgamated Regional Trading (Art) Holdings Limited,22.1,22.1,0.0
6,,,,
7,,,,
8,Ariston Holdings Limited,5.8,5.8,0.0
9,,,,
10,British American Tobacco Zimbabwe Limited,7240.0,8326.0,4100.0
11,,,,
12,,,,
13,Cafca Limited,2200.0,2200.0,0.0
14,,,,
15,Cbz Holdings Limited,700.0,700.0,9900.0
16,,,,
17,Cfi Holdings Limited,539.85,539.85,0.0
18,,,,
19,Dairibord Holdings Limited,172.0,172.25,1700.0
20,,,,
21,Delta Corporation Limited,1464.7993,1388.261,378900.0
22,,,,
23,Ecocash Holdings Zimbabwe Limited,12.9991,12.5994,71400.0
24,,,,
25,Econet Wireless Zimbabwe Limited,266.2737,269.7686,365600.0
26,,,,
27,Fbc Holdings Limited,751.0,751.0012,85300.0
28,,,,
29,Fidelity Life Assurance Limited,42.5,42.5,0.0
30,,,,
31,First Mutual Holdings Limited,400.0,400.0,0.0
32,,,,
33,First Mutual Properties Limited,120.0,120.0,0.0
34,,,,
35,General Beltings Holdings Limited,11.95,11.95,0.0
36,,,,
37,Hippo Valley Estates Limited,800.0,800.0,0.0
38,,,,
39,Mashonaland Holdings Limited,90.0,90.0,0.0
40,,,,
41,Masimba Holdings Limited,369.0,369.0,0.0
42,,,,
43,Nampak Zimbabwe Limited,114.95,114.95,0.0
44,,,,
45,National Tyre Services Limited,66.526,66.526,0.0
46,,,,
47,Nmbz Holdings Limited,373.05,370.0001,5000900.0
48,,,,
49,Ok Zimbabwe Limited,34.4773,34.4963,2789800.0
50,,,,
51,Proplastics Limited,95.0,95.0,2700.0
52,,,,
53,Rainbow Tourism Group Limited,67.0,63.0,23400.0
54,,,,
55,Riozim Limited,79.05,79.5,100.0
56,,,,
57,Seed Co Limited,253.0001,253.0022,45000.0
58,,,,
59,Starafricacorporation Limited,3.8557,3.9584,2500.0
60,,,,
61,Tanganda Tea Company Limited,100.5,100.25,100.0
62,,,,
63,Tsl Limited,260.0,260.0,0.0
64,,,,
65,Turnall Holdings Limited,6.0,6.0,0.0
66,,,,
67,Unifreight Africa Limited,185.25,185.25,100.0
68,,,,
69,Willdale Limited,3.9808,3.9808,0.0
70,,,,
71,Zb Financial Holdings Limited,570.0,570.0,0.0
72,,,,
73,Zeco Holdings Limited,0.0018,0.0018,0.0
74,Zimbabwe Newspapers (1980) Limited,20.0,20.0,0.0
75,,,,
76,Zimre Holdings Limited,19.6,19.6,0.0
77,,,,8781500.0
78,,,,
79,,,,8781500.0
