,0,1,2,3,4
3,,,,,
4,1.0,Afdis Distillers Limited,3999.9875,3999.9875,0.0
5,,,,,
6,2.0,Amalgamated Regional Trading (Art) Holdings Limited,217.0,217.0,100.0
7,,,,,
8,,,,,
9,3.0,Ariston Holdings Limited,66.0279,66.0279,0.0
10,,,,,
11,4.0,Bridgefort Capital Limited,35.0,70.0,3100.0
12,,,,,
13,5.0,Bridgefort Capital Limited Class B,33.0,33.0,0.0
14,,,,,
15,6.0,British American Tobacco Zimbabwe Limited,39791.1,39791.1,0.0
16,,,,,
17,,,,,
18,7.0,Cafca Limited,8800.0,8800.0,0.0
19,,,,,
20,8.0,Cbz Holdings Limited,7600.0,7600.0,0.0
21,,,,,
22,9.0,Cfi Holdings Limited,2600.0,2600.0,0.0
23,,,,,
24,10.0,Dairibord Holdings Limited,1050.0,1050.0,29000.0
25,,,,,
26,11.0,Delta Corporation Limited,8194.6,8185.9735,144200.0
27,,,,,
28,12.0,Ecocash Holdings Zimbabwe Limited,622.0833,622.0833,0.0
29,,,,,
30,13.0,Econet Wireless Zimbabwe Limited,1653.9313,1700.0,100200.0
31,,,,,
32,14.0,Edgars Stores Limited,399.0,397.0,3200.0
33,,,,,
34,15.0,Fbc Holdings Limited,2800.0,2799.95,38200.0
35,,,,,
36,16.0,Fidelity Life Assurance Limited,622.0,622.0,0.0
37,,,,,
38,17.0,First Mutual Holdings Limited,3600.0,3600.0,0.0
39,,,,,
40,18.0,First Mutual Properties Limited,580.0,580.0,0.0
41,,,,,
42,19.0,General Beltings Holdings Limited,137.0,137.0,11500.0
43,,,,,
44,20.0,Hippo Valley Estates Limited,5500.0,4675.0011,28300.0
45,,,,,
46,21.0,Mashonaland Holdings Limited,345.0,345.0,19700.0
47,,,,,
48,22.0,Masimba Holdings Limited,2944.0,2944.0,0.0
49,,,,,
50,23.0,Meikles Limited,2457.0,2662.5547,31900.0
51,,,,,
52,24.0,Nampak Zimbabwe Limited,470.0,467.8051,191900.0
53,,,,,
54,25.0,National Tyre Services Limited,160.0,160.0,0.0
55,,,,,
56,26.0,Nmbz Holdings Limited,2850.0,2850.0,800.0
57,,,,,
58,27.0,Ok Zimbabwe Limited,594.0,534.109,593500.0
59,,,,,
60,28.0,Proplastics Limited,1293.95,1209.2,500.0
61,,,,,
62,29.0,Rainbow Tourism Group Limited,380.0,380.0,0.0
63,,,,,
64,30.0,Riozim Limited,1190.0,1190.0,36500.0
65,,,,,
66,31.0,Seed Co Limited,2200.0021,2000.0,1598200.0
67,,,,,
68,32.0,Starafricacorporation Limited,8.1863,8.0013,3377900.0
69,,,,,
70,33.0,Tanganda Tea Company Limited,1942.55,1910.8645,21400.0
71,,,,,
72,34.0,Truworths Limited,90.0,90.0,0.0
73,,,,,
74,35.0,Tsl Limited,2350.0,2350.0,0.0
75,36.0,Turnall Holdings Limited,41.5885,41.6,20200.0
76,,,,,
77,37.0,Unifreight Africa Limited,425.0,425.0,0.0
78,,,,,
79,38.0,Willdale Limited,50.0,50.0,0.0
80,,,,,
81,39.0,Zb Financial Holdings Limited,1900.0,2000.0,200.0
82,,,,,
83,40.0,Zeco Holdings Limited,0.0452,0.0452,0.0
84,,,,,
85,41.0,Zimbabwe Newspapers (1980) Limited,101.4433,100.0,13200.0
86,,,,,
87,42.0,Zimre Holdings Limited,265.0,265.0,0.0
