,0,1,2,3
3,Afdis Distillers Limited,700.0,700.0,0.0
4,,,,
5,Amalgamated Regional Trading (Art) Holdings Limited,55.0,55.0,0.0
6,,,,
7,,,,
8,Ariston Holdings Limited,3.91,3.91,0.0
9,,,,
10,Bridgefort Capital Limited,1.5,1.5,0.0
11,,,,
12,Bridgefort Capital Limited Class B,2.64,2.64,0.0
13,,,,
14,British American Tobacco Zimbabwe Limited,7245.0,7245.0,0.0
15,,,,
16,,,,
17,Cafca Limited,1400.0,1400.0,0.0
18,,,,
19,Cbz Holdings Limited,1799.95,1799.95,0.0
20,,,,
21,Cfi Holdings Limited,281.5,281.5,0.0
22,,,,
23,Dairibord Holdings Limited,250.0,250.0,3400.0
24,,,,
25,Delta Corporation Limited,1800.0394,1800.0148,32000.0
26,,,,
27,Ecocash Holdings Zimbabwe Limited,31.6952,32.0,900.0
28,,,,
29,Econet Wireless Zimbabwe Limited,320.5619,350.0,199000.0
30,,,,
31,Fbc Holdings Limited,1050.0,1200.0,800.0
32,,,,
33,Fidelity Life Assurance Limited,120.25,120.25,0.0
34,,,,
35,First Mutual Holdings Limited,399.0,399.0,0.0
36,,,,
37,First Mutual Properties Limited,72.0,72.0,6300.0
38,,,,
39,General Beltings Holdings Limited,6.0,6.0,0.0
40,,,,
41,Hippo Valley Estates Limited,861.0,861.0,0.0
42,,,,
43,Mashonaland Holdings Limited,75.0,80.0,1000.0
44,,,,
45,Masimba Holdings Limited,230.0,230.0,0.0
46,,,,
47,Meikles Limited,510.0,495.0,25000.0
48,,,,
49,Nampak Zimbabwe Limited,127.9288,127.9288,0.0
50,,,,
51,National Tyre Services Limited,50.0,50.0,0.0
52,,,,
53,Nmbz Holdings Limited,344.25,300.0,26800.0
54,,,,
55,Ok Zimbabwe Limited,75.1362,82.35,2000.0
56,,,,
57,Proplastics Limited,173.8667,174.25,1200.0
58,,,,
59,Rainbow Tourism Group Limited,53.0,58.0,1100.0
60,,,,
61,Riozim Limited,139.0,139.0,0.0
62,,,,
63,Seed Co Limited,542.6364,542.6364,0.0
64,,,,
65,Starafricacorporation Limited,1.7201,2.492,184400.0
66,,,,
67,Tanganda Tea Company Limited,314.75,314.75,0.0
68,,,,
69,Tsl Limited,267.5625,267.5625,0.0
70,,,,
71,Turnall Holdings Limited,6.0,6.0,2300.0
72,,,,
73,Unifreight Africa Limited,252.0,248.0417,1200.0
74,Willdale Limited,4.94,4.94,0.0
75,,,,
76,Zb Financial Holdings Limited,832.0,832.0,300.0
77,,,,
78,Zeco Holdings Limited,0.0018,0.0018,0.0
79,,,,
80,Zimbabwe Newspapers (1980) Limited,7.0,6.2914,4900.0
81,,,,
82,Zimre Holdings Limited,37.7491,37.4677,14400.0
83,,,,507000.0
84,,,,
85,,,,507000.0
