Name,Opening_Price,Closing_Price,Volume_Traded
1.0,808,0,0
2.0,57.0714,700,39950
3.0,8.1705,7400,60462
4.0,1.5,0,0
5.0,2.64,0,0
6.0,8030,500,4015000
7.0,1560,0,0
8.0,1700,400,680000
9.0,281.5,0,0
10.0,230,0,0
11.0,2150.278,572800,1231679000
12.0,43.0676,3400,146430
13.0,481.2919,2240200,1078190000
14.0,1124.5902,0,0
15.0,120.25,0,0
16.0,430.5,0,0
17.0,79.5,100,7950
18.0,6.26,0,0
19.0,875,300,262500
20.0,150,3000,450000
21.0,265.5,0,0
22.0,450,600,270000
23.0,130,300,39000
24.0,50,0,0
25.0,325.55,0,0
26.0,85.0012,20600,1751025
27.0,175,100,17500
28.0,65,0,0
29.0,139,0,0
30.0,525,1300,682500
31.0,2.1716,110800,240613
32.0,204.7946,664400,136065600
33.0,280,0,0
34.0,6.5,0,0
35.0,249.95,2500,624875
36.0,5.44,7100,38624
37.0,850,0,0
38.0,0.0018,0,0
39.0,6,0,0
40.0,42.8889,1800,77200 Company NameOpeningPriceClosingPriceTotalTradedVolumeTotalTradedValue EQUITIES 1Afdis Distillers Limited80880800 2Amalgamated Regional Trading (Art) Holdings Limited6157.071470039950 3Ariston Holdings Limited9.028.1705740060462 4Bridgefort Capital Limited1.51.500 5Bridgefort Capital Limited Class B2.642.6400 6British American Tobacco Zimbabwe Limited700080305004015000 7Cafca Limited1560156000 8Cbz Holdings Limited17001700400680000 9Cfi Holdings Limited281.5281.500 10Dairibord Holdings Limited23023000 11Delta Corporation Limited2013.96082150.2785728001231679000 12Ecocash Holdings Zimbabwe Limited43.143.06763400146430 13Econet Wireless Zimbabwe Limited503.3333481.291922402001078190000 14Fbc Holdings Limited1124.59021124.590200 15Fidelity Life Assurance Limited120.25120.2500 16First Mutual Holdings Limited430.5430.500 17First Mutual Properties Limited79.974679.51007950 18General Beltings Holdings Limited6.266.2600 19Hippo Valley Estates Limited800875300262500 20Mashonaland Holdings Limited150.00451503000450000 21Masimba Holdings Limited265.5265.500 22Meikles Limited444450600270000 23Nampak Zimbabwe Limited12513030039000 24National Tyre Services Limited505000 25Nmbz Holdings Limited325.55325.5500 26Ok Zimbabwe Limited8485.0012206001751025 27Proplastics Limited17517510017500 28Rainbow Tourism Group Limited656500 29Riozim Limited13913900 30Seed Co Limited526.85251300682500 31Starafricacorporation Limited2.12.1716110800240613 32Tanganda Tea Company Limited200.2402204.7946664400136065600 33Tsl Limited28028000 34Turnall Holdings Limited6.56.500 35Unifreight Africa Limited250249.95250062487536Willdale Limited5.445.44710038624 37Zb Financial Holdings Limited85085000 38Zeco Holdings Limited0.00180.001800 39Zimbabwe Newspapers (1980) Limited6600 40Zimre Holdings Limited42.842.8889180077200
,ClosingPrice,TotalTradedVolume,TotalTradedValue
1.0,808,0,0
2.0,57.0714,700,39950
3.0,8.1705,7400,60462
4.0,1.5,0,0
5.0,2.64,0,0
6.0,8030,500,4015000
7.0,1560,0,0
8.0,1700,400,680000
9.0,281.5,0,0
10.0,230,0,0
11.0,2150.278,572800,1231679000
12.0,43.0676,3400,146430
13.0,481.2919,2240200,1078190000
14.0,1124.5902,0,0
15.0,120.25,0,0
16.0,430.5,0,0
17.0,79.5,100,7950
18.0,6.26,0,0
19.0,875,300,262500
20.0,150,3000,450000
21.0,265.5,0,0
22.0,450,600,270000
23.0,130,300,39000
24.0,50,0,0
25.0,325.55,0,0
26.0,85.0012,20600,1751025
27.0,175,100,17500
28.0,65,0,0
29.0,139,0,0
30.0,525,1300,682500
31.0,2.1716,110800,240613
32.0,204.7946,664400,136065600
33.0,280,0,0
34.0,6.5,0,0
35.0,249.95,2500,624875
36.0,5.44,7100,38624
37.0,850,0,0
38.0,0.0018,0,0
39.0,6,0,0
40.0,42.8889,1800,77200
