,0,1,2,3
3,EQUITIES,,,
4,,,,
5,Afdis Distillers Limited,400.0,400.0,0.0
6,,,,
7,Amalgamated Regional Trading (Art) Holdings Limited,29.5,29.5,0.0
8,,,,
9,,,,
10,Ariston Holdings Limited,11.0,11.1455,5500.0
11,,,,
12,Bridgefort Capital Limited,10.0,10.0,0.0
13,,,,
14,Bridgefort Capital Limited Class B,29.3,29.3,0.0
15,,,,
16,British American Tobacco Zimbabwe Limited,5952.0,6800.0,200.0
17,,,,
18,,,,
19,Cafca Limited,379.7775,379.7775,0.0
20,,,,
21,Cbz Holdings Limited,191.4,196.0,30500.0
22,,,,
23,Cfi Holdings Limited,663.4393,663.4393,0.0
24,,,,
25,Dairibord Holdings Limited,115.8333,130.0,9900.0
26,,,,
27,Delta Corporation Limited,790.2397,790.0,673100.0
28,,,,
29,Ecocash Holdings Zimbabwe Limited,49.9,56.7025,1119500.0
30,,,,
31,Econet Wireless Zimbabwe Limited,235.2333,265.3203,1303800.0
32,,,,
33,Edgars Stores Limited,24.5,24.5,0.0
34,,,,
35,Fbc Holdings Limited,146.0,146.0,100.0
36,,,,
37,Fidelity Life Assurance Limited,30.0,30.0,3200.0
38,,,,
39,First Capital Bank Limited,34.5638,35.9866,58800.0
40,,,,
41,First Mutual Holdings Limited,25.0,25.0,0.0
42,,,,
43,First Mutual Properties Limited,18.0,17.5,1100.0
44,,,,
45,General Beltings Holdings Limited,2.81,2.81,500.0
46,,,,
47,Getbucks Microfinance Bank Limited,26.0,26.0,0.0
48,,,,
49,Hippo Valley Estates Limited,695.0014,795.0,100.0
50,,,,
51,Mashonaland Holdings Limited,17.35,18.5,100.0
52,,,,
53,Masimba Holdings Limited,191.75,191.0,300.0
54,,,,
55,Meikles Limited,416.1241,416.0,189700.0
56,,,,
57,Nampak Zimbabwe Limited,29.0,28.8889,1800.0
58,,,,
59,National Tyre Services Limited,14.0,14.0,0.0
60,,,,
61,Nmbz Holdings Limited,65.05,65.05,0.0
62,,,,
63,Ok Zimbabwe Limited,57.0018,51.0354,2064200.0
64,,,,
65,Proplastics Limited,136.8,157.2972,618900.0
66,,,,
67,Rainbow Tourism Group Limited,19.5,21.0026,3900.0
68,,,,
69,Riozim Limited,174.55,174.55,0.0
70,,,,
71,Seed Co Limited,190.5051,200.0,1100.0
72,,,,
73,Starafricacorporation Limited,2.3495,2.2526,110400.0
74,Tanganda Tea Company Limited,360.15,360.15,0.0
75,,,,
76,Truworths Limited,3.2125,3.2125,0.0
77,,,,
78,Tsl Limited,102.5456,102.5456,0.0
79,,,,
80,Turnall Holdings Limited,7.6143,7.5,1100.0
81,,,,
82,Unifreight Africa Limited,70.0,70.0,0.0
83,,,,
84,Willdale Limited,3.5501,3.6,3700.0
85,,,,
86,Zb Financial Holdings Limited,106.525,106.525,0.0
87,,,,
88,Zeco Holdings Limited,0.0331,0.0331,0.0
89,,,,
90,Zimbabwe Newspapers (1980) Limited,6.7,5.9817,7100.0
91,,,,
92,Zimplow Holdings Limited,36.0,35.5,200.0
93,,,,
94,Zimre Holdings Limited,12.0,12.0,4100.0
95,,,,6212900.0
96,,,,
97,,,,6212900.0
