,0,1,2,3,4
3,1.0,Afdis Distillers Limited,220.25,220.25,0.0
4,,,,,
5,2.0,Amalgamated Regional Trading (Art) Holdings Limited,8,8.0,0.0
6,,,,,
7,,,,,
8,3.0,Ariston Holdings Limited,4.8,4.8328,6400.0
9,,,,,
10,4.0,Bridgefort Capital Limited,1.4007,1.4007,0.0
11,,,,,
12,5.0,Bridgefort Capital Limited Class B,1.3207,1.3207,0.0
13,,,,,
14,6.0,British American Tobacco Zimbabwe Limited,2601,2601.0,0.0
15,,,,,
16,,,,,
17,7.0,Cafca Limited,621.3121,621.3121,0.0
18,,,,,
19,8.0,Cbz Holdings Limited,360,365.25,200.0
20,,,,,
21,9.0,Cfi Holdings Limited,130.05,130.05,0.0
22,,,,,
23,10.0,Dairibord Holdings Limited,80.5,75.5938,3200.0
24,,,,,
25,11.0,Delta Corporation Limited,713.385,712.7317,109800.0
26,,,,,
27,12.0,Ecocash Holdings Zimbabwe Limited,28.7,28.0,25300.0
28,,,,,
29,13.0,Econet Wireless Zimbabwe Limited,140.0502,138.6531,273800.0
30,,,,,
31,14.0,Fbc Holdings Limited,192,192.0,454500.0
32,,,,,
33,15.0,Fidelity Life Assurance Limited,50.6,50.6,0.0
34,,,,,
35,16.0,First Mutual Holdings Limited,226,225.5,27300.0
36,,,,,
37,17.0,First Mutual Properties Limited,31.85,30.05,100.0
38,,,,,
39,18.0,General Beltings Holdings Limited,5,5.0018,21500.0
40,,,,,
41,19.0,Hippo Valley Estates Limited,350.05,350.0993,14000.0
42,,,,,
43,20.0,Mashonaland Holdings Limited,14.6045,14.6,100.0
44,,,,,
45,21.0,Masimba Holdings Limited,155,155.0,100.0
46,,,,,
47,22.0,Meikles Limited,235,225.1157,21600.0
48,,,,,
49,23.0,Nampak Zimbabwe Limited,50,45.0,100.0
50,,,,,
51,24.0,National Tyre Services Limited,12.8064,12.8064,0.0
52,,,,,
53,25.0,Nmbz Holdings Limited,144.0016,144.0016,0.0
54,,,,,
55,26.0,Ok Zimbabwe Limited,54.7623,54.7804,90000.0
56,,,,,
57,27.0,Proplastics Limited,57,56.0057,53000.0
58,,,,,
59,28.0,Rainbow Tourism Group Limited,20.7,20.7,0.0
60,,,,,
61,29.0,Riozim Limited,63,63.0,0.0
62,,,,,
63,30.0,Seed Co Limited,125.039,126.5124,56600.0
64,,,,,
65,31.0,Starafricacorporation Limited,0.83,0.8409,140400.0
66,,,,,
67,32.0,Tanganda Tea Company Limited,199.2414,194.8881,42600.0
68,,,,,
69,33.0,Tsl Limited,106.05,106.05,900.0
70,,,,,
71,34.0,Turnall Holdings Limited,2.5357,2.5357,0.0
72,,,,,
73,35.0,Unifreight Africa Limited,26,26.0,300.0
74,36.0,Willdale Limited,5,5.0,3900.0
75,,,,,
76,37.0,Zb Financial Holdings Limited,253.95,253.95,0.0
77,,,,,
78,38.0,Zeco Holdings Limited,0.0018,0.0018,0.0
79,,,,,
80,39.0,Zimbabwe Newspapers (1980) Limited,4.002,4.002,0.0
81,,,,,
82,40.0,Zimre Holdings Limited,32,32.0,7000.0
