,0,1,2,3,4
3,,EQUITIES,,,
4,,,,,
5,1.0,Afdis Distillers Limited,1600.0,1600.0,0.0
6,,,,,
7,2.0,Amalgamated Regional Trading (Art) Holdings Limited,46.0,46.0,800.0
8,,,,,
9,,,,,
10,3.0,Ariston Holdings Limited,23.4,23.4,2000.0
11,,,,,
12,4.0,Bridgefort Capital Limited,16.5909,16.5909,0.0
13,,,,,
14,5.0,Bridgefort Capital Limited Class B,33.65,33.65,0.0
15,,,,,
16,6.0,British American Tobacco Zimbabwe Limited,13998.0769,14066.6583,600.0
17,,,,,
18,,,,,
19,7.0,Cafca Limited,2399.6,2399.6,0.0
20,,,,,
21,8.0,Cbz Holdings Limited,906.0,770.1,300.0
22,,,,,
23,9.0,Cfi Holdings Limited,2200.0,2200.0,0.0
24,,,,,
25,10.0,Dairibord Holdings Limited,480.0,550.0,11200.0
26,,,,,
27,11.0,Delta Corporation Limited,2072.8562,2126.1878,43100.0
28,,,,,
29,12.0,Ecocash Holdings Zimbabwe Limited,143.9115,143.8849,85000.0
30,,,,,
31,13.0,Econet Wireless Zimbabwe Limited,463.0401,464.6065,77800.0
32,,,,,
33,14.0,Edgars Stores Limited,109.9503,110.0,200.0
34,,,,,
35,15.0,Fbc Holdings Limited,820.0,820.0,0.0
36,,,,,
37,16.0,Fidelity Life Assurance Limited,130.0,130.0,0.0
38,,,,,
39,17.0,First Mutual Holdings Limited,175.0,175.0,0.0
40,,,,,
41,18.0,First Mutual Properties Limited,101.4057,101.4057,0.0
42,,,,,
43,19.0,General Beltings Holdings Limited,11.8,11.8,0.0
44,,,,,
45,20.0,Getbucks Microfinance Bank Limited,43.0,43.0,0.0
46,,,,,
47,21.0,Hippo Valley Estates Limited,1800.0,1800.0,0.0
48,,,,,
49,22.0,Mashonaland Holdings Limited,124.0,125.0497,100200.0
50,,,,,
51,23.0,Masimba Holdings Limited,898.613,772.4,200.0
52,,,,,
53,24.0,Meikles Limited,690.1818,690.1818,0.0
54,,,,,
55,25.0,Nampak Zimbabwe Limited,140.0,140.0,0.0
56,,,,,
57,26.0,National Tyre Services Limited,21.2,21.2,0.0
58,,,,,
59,27.0,Nmbz Holdings Limited,167.0,167.0,0.0
60,,,,,
61,28.0,Ok Zimbabwe Limited,140.4851,142.0,3200.0
62,,,,,
63,29.0,Proplastics Limited,444.95,444.95,0.0
64,,,,,
65,30.0,Rainbow Tourism Group Limited,135.0,135.0,100.0
66,,,,,
67,31.0,Riozim Limited,521.85,521.85,0.0
68,,,,,
69,32.0,Seed Co Limited,1138.2595,1137.7663,9800.0
70,,,,,
71,33.0,Starafricacorporation Limited,5.2101,5.508,175600.0
72,,,,,
73,34.0,Tanganda Tea Company Limited,1115.1974,1113.8123,14200.0
74,35.0,Truworths Limited,10.0,10.0,0.0
75,,,,,
76,36.0,Tsl Limited,520.0,520.0,3200.0
77,,,,,
78,37.0,Turnall Holdings Limited,14.0,14.0,26600.0
79,,,,,
80,38.0,Unifreight Africa Limited,204.65,204.65,0.0
81,,,,,
82,39.0,Willdale Limited,16.775,18.0,10500.0
83,,,,,
84,40.0,Zb Financial Holdings Limited,635.0,635.0,0.0
85,,,,,
86,41.0,Zeco Holdings Limited,0.0331,0.0331,0.0
87,,,,,
88,42.0,Zimbabwe Newspapers (1980) Limited,10.0,10.0,0.0
89,,,,,
90,43.0,Zimre Holdings Limited,58.0,58.0,24000.0
