,0,1,2,3
3,Afdis Distillers Limited,660.0,660.0,0.0
4,,,,
5,Amalgamated Regional Trading (Art) Holdings Limited,19.6564,19.6564,0.0
6,,,,
7,,,,
8,Ariston Holdings Limited,5.02,6.0,100.0
9,,,,
10,British American Tobacco Zimbabwe Limited,13000.0,11055.0,100.0
11,,,,
12,,,,
13,Cafca Limited,1999.95,1999.95,0.0
14,,,,
15,Cbz Holdings Limited,791.0,700.0,22100.0
16,,,,
17,Cfi Holdings Limited,539.85,539.85,0.0
18,,,,
19,Dairibord Holdings Limited,172.5,171.0,4600.0
20,,,,
21,Delta Corporation Limited,1342.0115,1349.1935,6200.0
22,,,,
23,Ecocash Holdings Zimbabwe Limited,13.0343,13.0,1100.0
24,,,,
25,Econet Wireless Zimbabwe Limited,273.5381,274.005,2875900.0
26,,,,
27,Fbc Holdings Limited,760.0,760.0,576100.0
28,,,,
29,Fidelity Life Assurance Limited,43.05,43.05,0.0
30,,,,
31,First Mutual Holdings Limited,340.0,391.0,1000.0
32,,,,
33,First Mutual Properties Limited,120.0,120.0,0.0
34,,,,
35,General Beltings Holdings Limited,10.0,10.0,0.0
36,,,,
37,Hippo Valley Estates Limited,803.0536,803.0536,0.0
38,,,,
39,Mashonaland Holdings Limited,92.5818,106.0,1000.0
40,,,,
41,Masimba Holdings Limited,359.9833,359.9833,0.0
42,,,,
43,Nampak Zimbabwe Limited,109.95,110.0,200.0
44,,,,
45,National Tyre Services Limited,66.526,66.55,41296243.0
46,,,,
47,Nmbz Holdings Limited,370.0,370.0,0.0
48,,,,
49,Ok Zimbabwe Limited,34.0103,33.7318,1100.0
50,,,,
51,Proplastics Limited,84.0,85.0,1552200.0
52,,,,
53,Rainbow Tourism Group Limited,63.0,63.0,0.0
54,,,,
55,Riozim Limited,80.0,80.0,0.0
56,,,,
57,Seed Co Limited,300.0,300.0,0.0
58,,,,
59,Starafricacorporation Limited,3.0595,3.8204,1573200.0
60,,,,
61,Tanganda Tea Company Limited,87.1,87.1,0.0
62,,,,
63,Tsl Limited,259.95,259.95,0.0
64,,,,
65,Turnall Holdings Limited,6.0,6.0,0.0
66,,,,
67,Unifreight Africa Limited,180.0,180.0,0.0
68,,,,
69,Willdale Limited,4.0,4.0,10000.0
70,,,,
71,Zb Financial Holdings Limited,550.0,550.0,2000.0
72,,,,
73,Zeco Holdings Limited,0.0018,0.0018,0.0
74,Zimbabwe Newspapers (1980) Limited,18.0,15.4,1000.0
75,,,,
76,Zimre Holdings Limited,25.0198,28.55,5500.0
77,,,,47929643.0
78,,,,
79,,,,47929643.0
