,0,1,2,3,4
3,,EQUITIES,,,
4,,,,,
5,1.0,Afdis Distillers Limited,1850.0,1848.0707,17900.0
6,,,,,
7,2.0,Amalgamated Regional Trading (Art) Holdings Limited,46.35,46.35,0.0
8,,,,,
9,,,,,
10,3.0,Ariston Holdings Limited,31.992,32.0,1700.0
11,,,,,
12,4.0,Bridgefort Capital Limited,16.5909,16.5909,0.0
13,,,,,
14,5.0,Bridgefort Capital Limited Class B,33.65,33.65,0.0
15,,,,,
16,6.0,British American Tobacco Zimbabwe Limited,17498.8208,17498.8208,0.0
17,,,,,
18,,,,,
19,7.0,Cafca Limited,2399.6,2399.6,0.0
20,,,,,
21,8.0,Cbz Holdings Limited,1050.4154,918.209,6100.0
22,,,,,
23,9.0,Cfi Holdings Limited,2200.0,2200.0,0.0
24,,,,,
25,10.0,Dairibord Holdings Limited,541.6333,520.825,200.0
26,,,,,
27,11.0,Delta Corporation Limited,2661.3844,2283.3647,36500.0
28,,,,,
29,12.0,Ecocash Holdings Las,57.44,9.95,10000.0
30,,,,,
31,13.0,Ecocash Holdings Zimbabwe Limited,154.7342,142.6311,8200.0
32,,,,,
33,14.0,Econet Wireless Limited Las,10.0,10.0,0.0
34,,,,,
35,15.0,Econet Wireless Zimbabwe Limited,536.6245,527.5459,25400.0
36,,,,,
37,16.0,Edgars Stores Limited,121.0,121.0,500.0
38,,,,,
39,17.0,Fbc Holdings Limited,801.3483,801.3483,0.0
40,,,,,
41,18.0,Fidelity Life Assurance Limited,130.0,130.0,0.0
42,,,,,
43,19.0,First Mutual Holdings Limited,248.0,248.0,0.0
44,,,,,
45,20.0,First Mutual Properties Limited,125.0,125.0,0.0
46,,,,,
47,21.0,General Beltings Holdings Limited,12.45,12.5,10500.0
48,,,,,
49,22.0,Hippo Valley Estates Limited,1800.0,1530.0,2500.0
50,,,,,
51,23.0,Mashonaland Holdings Limited,157.0,160.0,20000.0
52,,,,,
53,24.0,Masimba Holdings Limited,652.6923,699.9814,22900.0
54,,,,,
55,25.0,Meikles Limited,750.188,726.827,12600.0
56,,,,,
57,26.0,Nampak Zimbabwe Limited,200.0,200.0,0.0
58,,,,,
59,27.0,National Tyre Services Limited,24.7,24.7,0.0
60,,,,,
61,28.0,Nmbz Holdings Limited,219.0,220.6757,3700.0
62,,,,,
63,29.0,Ok Zimbabwe Limited,142.0142,142.1429,44100.0
64,,,,,
65,30.0,Proplastics Limited,531.9,531.9,0.0
66,,,,,
67,31.0,Rainbow Tourism Group Limited,149.95,149.8708,1200.0
68,,,,,
69,32.0,Riozim Limited,690.0,690.0,0.0
70,,,,,
71,33.0,Seed Co Limited,765.0,652.9921,50800.0
72,,,,,
73,34.0,Starafricacorporation Limited,5.2008,5.1331,95900.0
74,35.0,Tanganda Tea Company Limited,842.55,786.0333,1200.0
75,,,,,
76,36.0,Truworths Limited,10.0,10.0,0.0
77,,,,,
78,37.0,Tsl Limited,508.0,508.0,900.0
79,,,,,
80,38.0,Turnall Holdings Limited,19.15,20.0,4000.0
81,,,,,
82,39.0,Unifreight Africa Limited,258.75,258.75,0.0
83,,,,,
84,40.0,Willdale Limited,9.2,10.5,100000.0
85,,,,,
86,41.0,Zb Financial Holdings Limited,634.0,634.0,0.0
87,,,,,
88,42.0,Zeco Holdings Limited,0.0331,0.0331,0.0
89,,,,,
90,43.0,Zimbabwe Newspapers (1980) Limited,11.0,11.0,0.0
91,,,,,
92,44.0,Zimre Holdings Limited,85.5,85.75,9000.0
