,0,1,2,3,4
3,,EQUITIES,,,
4,,,,,
5,1.0,Afdis Distillers Limited,1848.0707,1848.0707,0.0
6,,,,,
7,2.0,Amalgamated Regional Trading (Art) Holdings Limited,46.35,46.35,0.0
8,,,,,
9,,,,,
10,3.0,Ariston Holdings Limited,32.0,32.0,21600.0
11,,,,,
12,4.0,Bridgefort Capital Limited,16.5909,16.5909,0.0
13,,,,,
14,5.0,Bridgefort Capital Limited Class B,33.65,33.65,0.0
15,,,,,
16,6.0,British American Tobacco Zimbabwe Limited,17498.8208,17000.0,100.0
17,,,,,
18,,,,,
19,7.0,Cafca Limited,2399.6,2399.6,0.0
20,,,,,
21,8.0,Cbz Holdings Limited,918.209,806.1015,3300.0
22,,,,,
23,9.0,Cfi Holdings Limited,2200.0,2200.0,0.0
24,,,,,
25,10.0,Dairibord Holdings Limited,520.825,500.0,600.0
26,,,,,
27,11.0,Delta Corporation Limited,2283.3647,1948.2754,460100.0
28,,,,,
29,12.0,Ecocash Holdings Las,9.95,9.95,0.0
30,,,,,
31,13.0,Ecocash Holdings Zimbabwe Limited,142.6311,140.0,6100.0
32,,,,,
33,14.0,Econet Wireless Limited Las,10.0,8.5,4500.0
34,,,,,
35,15.0,Econet Wireless Zimbabwe Limited,527.5459,507.642,103900.0
36,,,,,
37,16.0,Edgars Stores Limited,121.0,102.8558,5200.0
38,,,,,
39,17.0,Fbc Holdings Limited,801.3483,801.3483,0.0
40,,,,,
41,18.0,Fidelity Life Assurance Limited,130.0,130.0,0.0
42,,,,,
43,19.0,First Mutual Holdings Limited,248.0,248.0,100.0
44,,,,,
45,20.0,First Mutual Properties Limited,125.0,143.75,600.0
46,,,,,
47,21.0,General Beltings Holdings Limited,12.5,10.0,34600.0
48,,,,,
49,22.0,Hippo Valley Estates Limited,1530.0,1529.7692,13000.0
50,,,,,
51,23.0,Mashonaland Holdings Limited,160.0,136.0,300.0
52,,,,,
53,24.0,Masimba Holdings Limited,699.9814,699.082,81700.0
54,,,,,
55,25.0,Meikles Limited,726.827,650.0091,4686600.0
56,,,,,
57,26.0,Nampak Zimbabwe Limited,200.0,200.0,0.0
58,,,,,
59,27.0,National Tyre Services Limited,24.7,24.7,0.0
60,,,,,
61,28.0,Nmbz Holdings Limited,220.6757,220.6757,0.0
62,,,,,
63,29.0,Ok Zimbabwe Limited,142.1429,140.0187,192100.0
64,,,,,
65,30.0,Proplastics Limited,531.9,531.9,200.0
66,,,,,
67,31.0,Rainbow Tourism Group Limited,149.8708,140.0,100.0
68,,,,,
69,32.0,Riozim Limited,690.0,690.0,0.0
70,,,,,
71,33.0,Seed Co Limited,652.9921,556.2294,51500.0
72,,,,,
73,34.0,Starafricacorporation Limited,5.1331,4.9909,250400.0
74,35.0,Tanganda Tea Company Limited,716.2,716.2,100.0
75,,,,,
76,36.0,Truworths Limited,10.0,10.0,0.0
77,,,,,
78,37.0,Tsl Limited,508.0,508.0,0.0
79,,,,,
80,38.0,Turnall Holdings Limited,20.0,20.0,1100.0
81,,,,,
82,39.0,Unifreight Africa Limited,258.75,258.75,0.0
83,,,,,
84,40.0,Willdale Limited,10.5,10.5,0.0
85,,,,,
86,41.0,Zb Financial Holdings Limited,634.0,600.0,600.0
87,,,,,
88,42.0,Zeco Holdings Limited,0.0331,0.0331,0.0
89,,,,,
90,43.0,Zimbabwe Newspapers (1980) Limited,11.0,11.0,0.0
91,,,,,
92,44.0,Zimre Holdings Limited,85.75,86.0,5700.0
