,0,1,2,3
3,EQUITIES,,,
4,,,,
5,Afdis Distillers Limited,2000.0,1900.0,300.0
6,,,,
7,Amalgamated Regional Trading (Art) Holdings Limited,51.0,45.0,11000.0
8,,,,
9,,,,
10,Ariston Holdings Limited,30.2,30.2,3300.0
11,,,,
12,Bridgefort Capital Limited,17.1,17.1,0.0
13,,,,
14,Bridgefort Capital Limited Class B,29.3,29.3,0.0
15,,,,
16,British American Tobacco Zimbabwe Limited,17464.7059,17464.7059,0.0
17,,,,
18,,,,
19,Cafca Limited,2822.1,2398.825,200.0
20,,,,
21,Cbz Holdings Limited,810.0,810.0,1100.0
22,,,,
23,Cfi Holdings Limited,2200.0,2200.0,0.0
24,,,,
25,Dairibord Holdings Limited,300.0,300.0,11900.0
26,,,,
27,Delta Corporation Limited,1699.665,1700.2717,628800.0
28,,,,
29,Ecocash Holdings Zimbabwe Limited,131.844,114.7823,27100.0
30,,,,
31,Econet Wireless Zimbabwe Limited,505.7686,500.0244,12500.0
32,,,,
33,Edgars Stores Limited,106.125,106.125,0.0
34,,,,
35,Fbc Holdings Limited,1044.925,1043.9,5100.0
36,,,,
37,Fidelity Life Assurance Limited,105.05,105.05,0.0
38,,,,
39,First Mutual Holdings Limited,180.0,180.0,0.0
40,,,,
41,First Mutual Properties Limited,106.0,105.0,800.0
42,,,,
43,General Beltings Holdings Limited,10.3777,10.0,21400.0
44,,,,
45,Getbucks Microfinance Bank Limited,43.7,43.7,0.0
46,,,,
47,Hippo Valley Estates Limited,2099.5514,2098.4582,6700.0
48,,,,
49,Mashonaland Holdings Limited,112.0016,120.0,3700.0
50,,,,
51,Masimba Holdings Limited,768.8,884.1,28700.0
52,,,,
53,Meikles Limited,772.4,755.1984,6300.0
54,,,,
55,Nampak Zimbabwe Limited,118.0,115.0,600.0
56,,,,
57,National Tyre Services Limited,18.5,18.5,0.0
58,,,,
59,Nmbz Holdings Limited,150.0615,172.55,2300.0
60,,,,
61,Ok Zimbabwe Limited,150.4009,149.99,80000.0
62,,,,
63,Proplastics Limited,450.0,439.955,46800.0
64,,,,
65,Rainbow Tourism Group Limited,132.9625,133.0,2500.0
66,,,,
67,Riozim Limited,549.0,549.0,0.0
68,,,,
69,Seed Co Limited,1688.5,1640.8011,18800.0
70,,,,
71,Starafricacorporation Limited,5.4954,5.5,865400.0
72,,,,
73,Tanganda Tea Company Limited,1248.9505,1249.0,100.0
74,Truworths Limited,10.5,10.5,0.0
75,,,,
76,Truworths Limited Las,4.64,4.64,0.0
77,,,,
78,Tsl Limited,610.0,610.0,0.0
79,,,,
80,Turnall Holdings Limited,13.0,13.0,22300.0
81,,,,
82,Turnall Holdings Limited Las,3.3,3.3,0.0
83,,,,
84,Unifreight Africa Limited,204.6,204.6,0.0
85,,,,
86,Willdale Limited,17.2059,17.083,10900.0
87,,,,
88,Zb Financial Holdings Limited,747.0,747.0,0.0
89,,,,
90,Zeco Holdings Limited,0.0331,0.0331,0.0
91,,,,
92,Zimbabwe Newspapers (1980) Limited,10.0,10.0,0.0
93,,,,
94,Zimre Holdings Limited,70.0,66.75,6000.0
95,,,,1824600.0
96,,,,
97,,,,1824600.0
