,0,1,2,3
3,Afdis Distillers Limited,700.05,700.0741,5400.0
4,,,,
5,Amalgamated Regional Trading (Art) Holdings Limited,10.05,10.05,0.0
6,,,,
7,,,,
8,Ariston Holdings Limited,3.9991,4.0,100.0
9,,,,
10,Bridgefort Capital Limited,1.51,1.51,0.0
11,,,,
12,Bridgefort Capital Limited Class B,2.64,2.64,0.0
13,,,,
14,British American Tobacco Zimbabwe Limited,5998.0,5998.0,0.0
15,,,,
16,,,,
17,Cafca Limited,1600.0,1840.0,100.0
18,,,,
19,Cbz Holdings Limited,1500.0,1550.0,105000.0
20,,,,
21,Cfi Holdings Limited,212.9,212.9,0.0
22,,,,
23,Dairibord Holdings Limited,266.1,290.1667,300.0
24,,,,
25,Delta Corporation Limited,1398.5027,1401.4489,214200.0
26,,,,
27,Ecocash Holdings Zimbabwe Limited,53.0,52.8748,516700.0
28,,,,
29,Econet Wireless Zimbabwe Limited,399.1514,399.9298,3308400.0
30,,,,
31,Fbc Holdings Limited,310.0,310.0,0.0
32,,,,
33,Fidelity Life Assurance Limited,120.75,120.75,0.0
34,,,,
35,First Mutual Holdings Limited,205.0,205.0,0.0
36,,,,
37,First Mutual Properties Limited,27.85,29.0582,18300.0
38,,,,
39,General Beltings Holdings Limited,4.5,4.5,0.0
40,,,,
41,Hippo Valley Estates Limited,700.0,700.0,700.0
42,,,,
43,Mashonaland Holdings Limited,23.9034,25.2021,28700.0
44,,,,
45,Masimba Holdings Limited,204.95,230.0,600.0
46,,,,
47,Meikles Limited,738.6,740.3333,600.0
48,,,,
49,Nampak Zimbabwe Limited,115.0,119.5,1000.0
50,,,,
51,National Tyre Services Limited,25.0,25.0,0.0
52,,,,
53,Nmbz Holdings Limited,220.704,220.704,0.0
54,,,,
55,Ok Zimbabwe Limited,58.637,64.5773,4400.0
56,,,,
57,Proplastics Limited,90.0455,90.0,100.0
58,,,,
59,Rainbow Tourism Group Limited,33.0,33.05,500.0
60,,,,
61,Riozim Limited,90.0191,90.0191,0.0
62,,,,
63,Seed Co Limited,321.3846,333.8333,300.0
64,,,,
65,Starafricacorporation Limited,0.7598,0.8878,538400.0
66,,,,
67,Tanganda Tea Company Limited,420.0,420.0,4800.0
68,,,,
69,Tsl Limited,306.9905,334.6,2500.0
70,,,,
71,Turnall Holdings Limited,5.5,5.0,10800.0
72,,,,
73,Unifreight Africa Limited,66.2,66.2,0.0
74,Willdale Limited,3.9462,3.9996,743700.0
75,,,,
76,Zb Financial Holdings Limited,1045.2,1201.95,300.0
77,,,,
78,Zeco Holdings Limited,0.0018,0.0018,0.0
79,,,,
80,Zimbabwe Newspapers (1980) Limited,5.2,5.2,0.0
81,,,,
82,Zimre Holdings Limited,29.0552,29.0432,409300.0
83,,,,5915200.0
84,,,,
85,,,,5915200.0
