,0,1,2,3
3,EQUITIES,,,
4,,,,
5,Afdis Distillers Limited,323.1818,323.1818,0.0
6,,,,
7,Amalgamated Regional Trading (Art) Holdings Limited,29.0,29.0,0.0
8,,,,
9,,,,
10,Ariston Holdings Limited,11.0,11.0,300.0
11,,,,
12,Bridgefort Capital Limited,10.0,10.0,0.0
13,,,,
14,Bridgefort Capital Limited Class B,29.3,29.3,0.0
15,,,,
16,British American Tobacco Zimbabwe Limited,3500.2067,4025.2,1200.0
17,,,,
18,,,,
19,Cafca Limited,379.7775,379.7775,0.0
20,,,,
21,Cbz Holdings Limited,175.85,175.9923,26000.0
22,,,,
23,Cfi Holdings Limited,677.1,677.1,0.0
24,,,,
25,Dairibord Holdings Limited,114.95,114.95,200.0
26,,,,
27,Delta Corporation Limited,819.1813,796.0624,199400.0
28,,,,
29,Ecocash Holdings Zimbabwe Limited,39.9869,39.9873,1179300.0
30,,,,
31,Econet Wireless Zimbabwe Limited,189.85,196.7685,425000.0
32,,,,
33,Edgars Stores Limited,24.0497,24.0497,0.0
34,,,,
35,Fbc Holdings Limited,125.5,125.5,100.0
36,,,,
37,Fidelity Life Assurance Limited,30.0,30.0,200.0
38,,,,
39,First Capital Bank Limited,29.5479,28.3467,982300.0
40,,,,
41,First Mutual Holdings Limited,20.7462,20.7462,0.0
42,,,,
43,First Mutual Properties Limited,14.55,14.55,0.0
44,,,,
45,General Beltings Holdings Limited,2.0,2.2195,4100.0
46,,,,
47,Getbucks Microfinance Bank Limited,23.0,23.0,0.0
48,,,,
49,Hippo Valley Estates Limited,627.1,627.1992,85200.0
50,,,,
51,Mashonaland Holdings Limited,15.0,15.0,100.0
52,,,,
53,Masimba Holdings Limited,147.175,147.175,0.0
54,,,,
55,Meikles Limited,325.0472,329.3243,3700.0
56,,,,
57,Nampak Zimbabwe Limited,31.0,30.8972,21500.0
58,,,,
59,National Tyre Services Limited,14.0,14.0,0.0
60,,,,
61,Nmbz Holdings Limited,61.0,61.0,1100.0
62,,,,
63,Ok Zimbabwe Limited,59.7593,58.5072,346500.0
64,,,,
65,Proplastics Limited,109.0,109.0,200.0
66,,,,
67,Rainbow Tourism Group Limited,16.8,16.901,10300.0
68,,,,
69,Riozim Limited,205.3115,174.55,6800.0
70,,,,
71,Seed Co Limited,200.0,200.0,0.0
72,,,,
73,Starafricacorporation Limited,1.9325,1.9034,136600.0
74,Tanganda Tea Company Limited,319.3158,346.6319,28800.0
75,,,,
76,Truworths Limited,3.105,3.105,0.0
77,,,,
78,Tsl Limited,102.5258,102.55,5000.0
79,,,,
80,Turnall Holdings Limited,6.0,6.9,600.0
81,,,,
82,Unifreight Africa Limited,70.0,70.0,100.0
83,,,,
84,Willdale Limited,3.7851,3.5,2200.0
85,,,,
86,Zb Financial Holdings Limited,106.525,106.525,0.0
87,,,,
88,Zeco Holdings Limited,0.0331,0.0331,0.0
89,,,,
90,Zimbabwe Newspapers (1980) Limited,6.0,6.675,400.0
91,,,,
92,Zimplow Holdings Limited,36.5,36.5,0.0
93,,,,
94,Zimre Holdings Limited,11.0,11.0,9800.0
95,,,,3477000.0
96,,,,
97,,,,3477000.0
