Name,Opening_Price,Closing_Price,Volume_Traded
1.0,220.25,0.0,0.0
2.0,8.9,7000000.0,62300000.0
3.0,3.9993,0.0,0.0
4.0,1.4007,0.0,0.0
5.0,1.3207,0.0,0.0
6.0,2599.95,0.0,0.0
7.0,621.3121,0.0,0.0
8.0,370.0,400.0,148000.0
9.0,130.05,0.0,0.0
10.0,56.3,0.0,0.0
11.0,694.6315,78300.0,54389650.0
12.0,23.5,40700.0,956450.0
13.0,125.0112,5082400.0,635000000.0
14.0,192.0,20500.0,3936000.0
15.0,58.0,0.0,0.0
16.0,190.5,0.0,0.0
17.0,24.0,0.0,0.0
18.0,5.01,5900.0,29559.0
19.0,354.0,0.0,0.0
20.0,13.0341,28700.0,374080.0
21.0,154.0,63800.0,9825200.0
22.0,230.0,500.0,115000.0
23.0,40.0056,900.0,36005.0
24.0,12.8064,0.0,0.0
25.0,144.3,0.0,0.0
26.0,50.0,12800.0,640000.0
27.0,40.65,3700.0,150405.0
28.0,21.25,100.0,2125.0
29.0,63.0,0.0,0.0
30.0,153.2496,0.0,0.0
31.0,0.83,152000.0,126160.0
32.0,185.25,0.0,0.0
33.0,106.25,0.0,0.0
34.0,2.75,300.0,825.0
35.0,26.0,0.0,0.0
36.0,2.6364,1100.0,2900.0
37.0,187.0,109500.0,20476500.0
38.0,0.0018,0.0,0.0
39.0,4.0,0.0,0.0
40.0,37.4187,150000.0,5612800.0
