,0,1,2,3
3,EQUITIES,,,
4,,,,
5,Afdis Distillers Limited,5022.125,4989.3375,400.0
6,,,,
7,Amalgamated Regional Trading (Art) Holdings Limited,90.0,103.5,10500.0
8,,,,
9,,,,
10,Ariston Holdings Limited,92.7181,92.9821,2800.0
11,,,,
12,Bridgefort Capital Limited,20.0,20.0,0.0
13,,,,
14,Bridgefort Capital Limited Class B,33.0,33.0,0.0
15,,,,
16,British American Tobacco Zimbabwe Limited,46815.7,46814.0,500.0
17,,,,
18,,,,
19,Cafca Limited,4422.5,4422.5,0.0
20,,,,
21,Cbz Holdings Limited,9200.0,7820.0,8900.0
22,,,,
23,Cfi Holdings Limited,2266.9375,2266.9375,0.0
24,,,,
25,Dairibord Holdings Limited,1765.1364,1765.1364,0.0
26,,,,
27,Delta Corporation Limited,10008.8281,8600.1041,299200.0
28,,,,
29,Ecocash Holdings Zimbabwe Limited,697.4992,696.1415,410000.0
30,,,,
31,Econet Wireless Zimbabwe Limited,2823.767,2754.641,1338600.0
32,,,,
33,Edgars Stores Limited,230.0,230.0,0.0
34,,,,
35,Fbc Holdings Limited,2800.0,3200.0,600.0
36,,,,
37,Fidelity Life Assurance Limited,470.35,470.35,0.0
38,,,,
39,First Mutual Holdings Limited,2253.4,2252.95,3000.0
40,,,,
41,First Mutual Properties Limited,500.0,472.4747,19800.0
42,,,,
43,General Beltings Holdings Limited,150.0,159.0909,1100.0
44,,,,
45,Hippo Valley Estates Limited,5900.0,5899.98,8000.0
46,,,,
47,Mashonaland Holdings Limited,216.881,216.951,72100.0
48,,,,
49,Masimba Holdings Limited,3408.9033,3408.6786,700.0
50,,,,
51,Meikles Limited,6750.0,6190.9893,5600.0
52,,,,
53,Nampak Zimbabwe Limited,507.0576,500.0,77400.0
54,,,,
55,National Tyre Services Limited,140.0,140.0,0.0
56,,,,
57,Nmbz Holdings Limited,1963.1,1963.8851,4700.0
58,,,,
59,Ok Zimbabwe Limited,723.0,722.4797,680700.0
60,,,,
61,Proplastics Limited,1700.0,1699.9506,18100.0
62,,,,
63,Rainbow Tourism Group Limited,263.0,263.0,1000.0
64,,,,
65,Riozim Limited,900.0,1035.0,100.0
66,,,,
67,Seed Co Limited,3978.7084,3381.95,300.0
68,,,,
69,Starafricacorporation Limited,8.2673,9.1611,86800.0
70,,,,
71,Tanganda Tea Company Limited,3361.9857,2860.0,13700.0
72,,,,
73,Truworths Limited,71.0,70.0,2200.0
74,,,,
75,Tsl Limited,1558.85,1525.7556,2700.0
76,Turnall Holdings Limited,94.0,94.0,4400.0
77,,,,
78,Unifreight Africa Limited,337.0238,337.0238,0.0
79,,,,
80,Willdale Limited,59.95,59.985,72100.0
81,,,,
82,Zb Financial Holdings Limited,2079.125,2079.125,0.0
83,,,,
84,Zeco Holdings Limited,0.04,0.04,0.0
85,,,,
86,Zimbabwe Newspapers (1980) Limited,49.002,49.002,0.0
87,,,,
88,Zimre Holdings Limited,175.25,201.0244,58100.0
89,,,,3204100.0
90,,,,
91,,,,3204100.0
