,0,1,2,3,4
3,,,,,
4,EQUITIES,,,,
5,,,,,
6,Afdis Distillers Limited,4003.05,4003.05,0,
7,,,,,
8,Amalgamated Regional Trading (Art) Holdings Limited,210,210,0,
9,,,,,
10,,,,,
11,Ariston Holdings Limited,70,70,400,
12,,,,,
13,Bridgefort Capital Limited,70,85,200,
14,,,,,
15,Bridgefort Capital Limited Class B,33,33,0,
16,,,,,
17,British American Tobacco Zimbabwe Limited,33822.7,33964.8174,4600,
18,,,,,
19,,,,,
20,Cafca Limited,13500,15525,100,
21,,,,,
22,Cbz Holdings Limited,8497.9859,9772.65,500,
23,,,,,
24,Cfi Holdings Limited,2600,2600,0,
25,,,,,
26,Dairibord Holdings Limited,1100,1265,5100,
27,,,,,
28,Delta Corporation Limited,11611.3667,13353.0399,74900,
29,,,,,
30,Ecocash Holdings Zimbabwe Limited,592.1053,599.8716,81800,
31,,,,,
32,Econet Wireless Zimbabwe Limited,2758.626,2811.5296,1577800,
33,,,,,
34,Edgars Stores Limited,300,305.8167,25100,
35,,,,,
36,Fbc Holdings Limited,2800.05,2800.05,0,
37,,,,,
38,Fidelity Life Assurance Limited,715.3,715.3,0,
39,,,,,
40,First Mutual Holdings Limited,4300,4300,0,
41,,,,,
42,First Mutual Properties Limited,580,580,0,
43,,,,,
44,General Beltings Holdings Limited,136.9,136.9,0,
45,,,,,
46,Hippo Valley Estates Limited,4812.85,4853.9283,118600,
47,,,,,
48,Mashonaland Holdings Limited,343.3929,344.8545,5500,
49,,,,,
50,Masimba Holdings Limited,3000,3000,0,
51,,,,,
52,Meikles Limited,5000,5100,1000,
53,,,,,
54,Nampak Zimbabwe Limited,500,500,100,
55,,,,,
56,National Tyre Services Limited,160,160,0,
57,,,,,
58,Nmbz Holdings Limited,2422.5,2422.5,0,
59,,,,,
60,Ok Zimbabwe Limited,689.339,782.0371,110700,
61,,,,,
62,Proplastics Limited,1293.9515,1293.9515,0,
63,,,,,
64,Rainbow Tourism Group Limited,420,420,0,
65,,,,,
66,Riozim Limited,1190,1190,0,
67,,,,,
68,Seed Co Limited,2242.5,2242.5497,274700,
69,,,,,
70,Starafricacorporation Limited,11,11.324,57500,
71,,,,,
72,Tanganda Tea Company Limited,2578.9,2965.35,200,
73,Tsl Limited,2200,2200,1600,
74,,,,,
75,Turnall Holdings Limited,65,65,7400,
76,,,,,
77,Unifreight Africa Limited,488,488,0,
78,,,,,
79,Willdale Limited,50,50.4568,33100,
80,,,,,
81,Zb Financial Holdings Limited,2645,3041.75,100,
82,,,,,
83,Zeco Holdings Limited,0.0452,0.0452,0,
84,,,,,
85,Zimbabwe Newspapers (1980) Limited,100,100,0,
86,,,,,
87,Zimre Holdings Limited,350,350,0,
88,,,,2381000,
89,,,,,
90,,,,2381000,
