Name,Opening_Price,Closing_Price,Volume_Traded
1.0,220.25,100.0,22025.0
2.0,9.02,0.0,0.0
3.0,4.8,13100.0,62880.0
4.0,1.4007,0.0,0.0
5.0,1.3207,0.0,0.0
6.0,2601.0,100.0,260100.0
7.0,621.3121,0.0,0.0
8.0,360.0,2900.0,1044000.0
9.0,130.05,0.0,0.0
10.0,90.2,1200.0,108240.0
11.0,710.739,32400.0,23027950.0
12.0,28.6565,4600.0,131820.0
13.0,140.3564,19600.0,2750985.0
14.0,192.0,0.0,0.0
15.0,50.6,0.0,0.0
16.0,226.0,0.0,0.0
17.0,31.85,0.0,0.0
18.0,4.8761,11500.0,56075.0
19.0,350.05,4300.0,1505215.0
20.0,14.6045,0.0,0.0
21.0,155.0,0.0,0.0
22.0,238.0294,122500.0,29158600.0
23.0,50.0,600.0,30000.0
24.0,12.8064,0.0,0.0
25.0,144.0357,7000.0,1008250.0
26.0,54.0243,40100.0,2166375.0
27.0,57.0,1200.0,68400.0
28.0,20.7,1200.0,24840.0
29.0,63.0,0.0,0.0
30.0,125.05,0.0,0.0
31.0,0.7395,292500.0,216295.0
32.0,199.2414,0.0,0.0
33.0,106.0,0.0,0.0
34.0,2.3246,20200.0,46956.0
35.0,26.0,0.0,0.0
36.0,5.02,200.0,1004.0
37.0,253.95,0.0,0.0
38.0,0.0018,0.0,0.0
39.0,4.002,0.0,0.0
40.0,32.0,13600.0,435200.0
